Sample	2015	2016	2017
NJAU_C001	19.96666667	22.0845	23.28
NJAU_C002	17.67233333	18.509	25.74666667
NJAU_C003	7.206666667	10.606	13.82333333
NJAU_C004	9.781	14.12333333	10.71333333
NJAU_C005	16.88333333	15.16	30.05666667
NJAU_C006	10.60133333	10.583	23.80333333
NJAU_C007	21.911	29.838	9.983333333
NJAU_C008	20.748	24.632	4.84
NJAU_C009	7.851	9.083666667	24.47
NJAU_C010	8.89	7.406	15.74
NJAU_C011	19.27	20.029	18.46333333
NJAU_C012	9.1335	13.72366667	17.42333333
NJAU_C013	13.11433333	15.44133333	7.05
NJAU_C014	8.712	15.044	8.223333333
NJAU_C015	4.666666667	9.0215	7.493333333
NJAU_C016	5.705666667	9.4165	20.47
NJAU_C017	11.73	6.707333333	12.56
NJAU_C018	10.45066667	12.02366667	8.683333333
NJAU_C019	9.375666667	11.869	21.73666667
NJAU_C020	6.955666667	8.479333333	13.15333333
NJAU_C021	17.35166667	21.09533333	19.61
NJAU_C022	10.25433333	13.84633333	7.226666667
NJAU_C023	15.01433333	16.8395	23.65
NJAU_C024	6.242	8.621	12.12
NJAU_C025	22.65766667	18.622	11.76666667
NJAU_C026	7.87	9.630333333	9.6
NJAU_C027	12.93333333	10.50966667	23.69
NJAU_C028	7.982333333	11.2315	7.463333333
NJAU_C029	21.991	20.48233333	9.02
NJAU_C030	5.573333333	7.242666667	10.13333333
NJAU_C031	6.099666667	10.26266667	14.38333333
NJAU_C032	8.107	8.843333333	25.08666667
NJAU_C033	10.07133333	13.64833333	10.97666667
NJAU_C034	18.76666667	19.19933333	29.44
NJAU_C035	10.1	12.6515	32.77333333
NJAU_C036	23.08333333	27.61566667	19.54666667
NJAU_C037	28.05533333	29.29833333	11.18666667
NJAU_C038	15.66666667	20.653	11.20333333
NJAU_C039	4.926666667	9.241333333	17.38
NJAU_C040	7.321	7.532	20.26
NJAU_C041	15.62233333	16.76333333	17.81
NJAU_C042	14.532	16.196	7.063333333
NJAU_C043	14.55666667	13.93866667	23.77
NJAU_C044	5.255666667	12.571	17.98
NJAU_C045	11.867	15.78166667	16.89666667
NJAU_C046	22.7	24.26133333	25.93
NJAU_C047	12.111	17.63933333	23.62
NJAU_C048	18.361	25.84666667	15.77333333
NJAU_C049	21.439	23.84866667	13.72333333
NJAU_C050	12.53433333	17.04633333	18.01333333
NJAU_C051	13.811	18.089	13.41666667
NJAU_C052	13.36766667	17.523	9.37
NJAU_C053	6.533666667	10.74766667	25.73333333
NJAU_C054	7.230333333	8.593333333	24.90666667
NJAU_C055	20.4	27.74333333	22.77666667
NJAU_C056	19.01666667	24.01866667	18.78333333
NJAU_C057	18.519	17.49	17.31666667
NJAU_C058	12.602	19.952	11.77
NJAU_C059	16.26	13.01866667	25.6
NJAU_C060	11.22933333	13.95933333	25.21
NJAU_C061	18.07833333	20.69333333	22.55
NJAU_C062	20.21333333	20.758	23.51666667
NJAU_C063	20.06433333	22.445	14.27333333
NJAU_C064	20.5	21.60666667	14.47333333
NJAU_C065	9.921	9.437	24.33333333
NJAU_C066	10.889	14.349	21.97666667
NJAU_C067	10.775	NA	16.44666667
NJAU_C068	15.81433333	33.421	18.34666667
NJAU_C069	15.56833333	15.074	21.35666667
NJAU_C070	14.17666667	19.71333333	21.41666667
NJAU_C071	18.77333333	19.014	15.44333333
NJAU_C072	15.50566667	18.732	8.316666667
NJAU_C073	10.21466667	13.62766667	19.16666667
NJAU_C074	6.649	7.780666667	18.21
NJAU_C075	20.142	15.02733333	15.51
NJAU_C076	13.679	13.84966667	10.99
NJAU_C077	12.22766667	15.25766667	19.4
NJAU_C078	8.249	9.6215	15.01333333
NJAU_C079	15.73333333	14.91433333	12.01
NJAU_C080	12.135	14.63866667	17.49666667
NJAU_C081	8.567333333	13.549	15.19
NJAU_C082	15.011	12.57233333	8.993333333
NJAU_C083	9.416666667	12.44933333	20.64333333
NJAU_C084	7.155666667	8.658666667	8.643333333
NJAU_C085	13.862	14.07	14.94
NJAU_C086	13.12233333	13.80633333	16.09333333
NJAU_C087	7.172	6.467666667	14.06333333
NJAU_C088	NA	15.9915	18.09
NJAU_C089	12.13666667	12.24233333	19.27
NJAU_C090	10.338	13.05766667	18.46666667
NJAU_C091	13.14666667	15.38666667	22.61
NJAU_C092	12.97433333	10.839	15.58333333
NJAU_C093	14.71366667	17.15566667	16.6
NJAU_C094	14.10333333	16.61933333	20.42
NJAU_C095	21.55566667	21.55766667	16.62666667
NJAU_C096	9.205666667	11.93366667	18.32
NJAU_C097	23.37033333	14.656	20.70333333
NJAU_C098	18.33333333	22.9685	20.84666667
NJAU_C099	10.39666667	10.66366667	25.19
NJAU_C100	26.25	30.31366667	49.62333333
NJAU_C101	10.46566667	11.69233333	14.54666667
NJAU_C102	4.707666667	7.561	24.11
NJAU_C103	13.50533333	18.15266667	17.89
NJAU_C104	8.568666667	12.17533333	10.84333333
NJAU_C105	16.091	15.757	19.82333333
NJAU_C106	8.944333333	13.87633333	14.11
NJAU_C107	21.42233333	17.5265	17.01666667
NJAU_C108	22.019	21.38833333	13.72666667
NJAU_C109	14.01133333	17.69233333	22.38666667
NJAU_C110	22.91733333	20.49966667	12.53333333
NJAU_C111	18.29466667	19.91233333	19.29666667
NJAU_C112	17.03333333	19.39033333	12.72666667
NJAU_C113	11.631	12.2585	9.813333333
NJAU_C114	18.16233333	16.80766667	22.68666667
NJAU_C115	9.153	12.213	14.81333333
NJAU_C116	16.782	15.005	13.07666667
NJAU_C117	10.831	11.467	12.03333333
NJAU_C118	7.87	9.542666667	26.21333333
NJAU_C119	19.232	21.00733333	13.17333333
NJAU_C120	10.72666667	10.9365	12.1
NJAU_C121	9.041666667	11.355	17.26666667
NJAU_C122	9.430333333	11.02166667	20.05666667
NJAU_C123	21.51	22.84933333	14.63333333
NJAU_C124	11.969	12.3975	13.08666667
NJAU_C125	9.661333333	12.8015	11.06333333
NJAU_C126	17.67366667	14.09133333	30.48
NJAU_C127	13.389	14.96266667	20.4
NJAU_C128	11.17	27.42266667	21.84666667
NJAU_C129	11.44533333	11.337	10.60666667
NJAU_C130	11.17333333	17.288	22.35333333
NJAU_C131	11.225	9.378	26.25333333
NJAU_C132	25.334	25.00233333	14.99666667
NJAU_C133	17.96666667	16.27033333	24.74333333
NJAU_C134	17.78566667	21.0115	20.94333333
NJAU_C135	8.29	9.491	4.946666667
NJAU_C136	13.73333333	19.50333333	17.39
NJAU_C137	11.578	17.35066667	16.61333333
NJAU_C138	11.033	16.0885	24.35333333
NJAU_C139	19.4	24.893	11.00666667
NJAU_C140	6.544333333	9.446	13.04666667
NJAU_C141	20.189	22.63866667	18.36666667
NJAU_C142	13.01566667	11.865	11.46333333
NJAU_C143	21.06133333	22.63233333	17.44666667
NJAU_C144	10.07433333	9.965333333	12.49
NJAU_C145	17.394	10.04	22.93
NJAU_C146	5.744333333	6.337	19.06
NJAU_C147	13.484	15.492	16.78666667
NJAU_C148	9.978	9.707333333	14.05
NJAU_C149	7.973333333	12.73466667	10.28666667
NJAU_C150	10.73333333	13.931	19.12
