Sample	2015	2016	2017
NJAU_C001	16.41	18.05	19.07
NJAU_C002	15.05	15.94	16.81
NJAU_C003	15.11	16.04	17
NJAU_C004	14.84	15.77	16.64
NJAU_C005	19.09	19.45	19.91
NJAU_C006	15.9	17.59	18.04
NJAU_C007	12.84	14.02	14.97
NJAU_C008	16.84	18.56	18.88
NJAU_C009	16.22	18.29	18.46
NJAU_C010	14.26	15.37	16.1
NJAU_C012	15.21	16.87	17.83
NJAU_C013	15.58	15.65	16.46
NJAU_C014	15.43	15.99	16.85
NJAU_C015	17.16	16.98	17.27
NJAU_C016	15.23	17.62	NA
NJAU_C017	16.68	18.11	18.97
NJAU_C018	16.25	18.21	18.23
NJAU_C019	15.78	16.02	16.6
NJAU_C020	16.88	17.62	17.48
NJAU_C021	17.35	17.02	17.41
NJAU_C022	14.69	14.41	15.47
NJAU_C023	16.88	16.84	16.99
NJAU_C024	15.14	16.21	16.95
NJAU_C025	14.68	15.47	17.11
NJAU_C026	14.86	15.72	16.83
NJAU_C027	13.42	11.82	13.79
NJAU_C028	17.32	17.83	16.4
NJAU_C029	14.42	15.76	17.67
NJAU_C030	14.26	16.5	17.54
NJAU_C031	13.46	14.97	16.72
NJAU_C032	18.48	16.43	17.6
NJAU_C033	14.9	15.23	16.89
NJAU_C034	10.13	13.84	15.01
NJAU_C035	14.62	16.54	16.62
NJAU_C036	12.29	13.29	14.38
NJAU_C037	18.69	16.54	18.37
NJAU_C038	13.94	13.29	NA
NJAU_C039	13.83	15.7	16.73
NJAU_C040	14.76	14.81	15.01
NJAU_C041	12.51	14.06	16.09
NJAU_C043	13.01	13.11	NA
NJAU_C044	17.43	17.23	18.53
NJAU_C045	14.23	16.08	17.55
NJAU_C046	14.41	17.62	16.54
NJAU_C047	11	10.99	13.3
NJAU_C048	15.3	16.07	16.88
NJAU_C049	12.52	14.5	15.64
NJAU_C050	15.61	16.08	16.71
NJAU_C051	14.61	16.67	17.68
NJAU_C052	16.51	16.53	17.48
NJAU_C053	16.8	18.5	18.43
NJAU_C054	12.35	11.56	11.24
NJAU_C055	14.72	16.37	17.22
NJAU_C056	15.02	16.99	17.11
NJAU_C057	17.5	17.69	16.72
NJAU_C058	15.24	16.45	17.95
NJAU_C059	17.76	18.78	20.17
NJAU_C060	17.82	17.36	18.88
NJAU_C061	15.61	18.24	17.43
NJAU_C062	15.74	15.53	17.6
NJAU_C063	16.52	17.9	19.2
NJAU_C064	16.13	16.48	17.98
NJAU_C065	14.96	17.08	17.62
NJAU_C066	20.44	18.9	21.09
NJAU_C067	16.33	16.88	17.05
NJAU_C068	15.96	16.62	17.94
NJAU_C069	17.33	19.98	19.54
NJAU_C070	12.51	13.55	13.97
NJAU_C071	14.15	16.01	16.84
NJAU_C072	NA	18.31	20.11
NJAU_C073	17.39	15.67	17.01
NJAU_C074	15.53	16.06	18.2
NJAU_C075	14.32	16.06	17.17
NJAU_C076	16.09	15.41	16.53
NJAU_C077	17.81	19.47	18.84
NJAU_C078	16.92	17.09	18.75
NJAU_C079	15.61	17.34	18.29
NJAU_C080	13.44	15.09	16.55
NJAU_C081	13.62	15.85	15.79
NJAU_C082	18.29	17.54	17.43
NJAU_C083	15.47	16.26	NA
NJAU_C084	15.18	15.79	17.26
NJAU_C085	16.55	17.48	18.86
NJAU_C086	13.64	14.54	17.65
NJAU_C087	13.37	15.82	17.41
NJAU_C088	17.66	18.32	19.3
NJAU_C089	10.31	12.1	14.35
NJAU_C090	11.02	12.63	13.42
NJAU_C091	15.54	19.9	16.39
NJAU_C092	20.44	14.88	20.86
