Sample	2015	2016	2017
NJAU_C001	43.08	44.23	41.66
NJAU_C002	43.51	45.92	43.65
NJAU_C003	40.29	43.67	41.39
NJAU_C004	47.16	43.91	44.21
NJAU_C005	46.86	48.67	47.49
NJAU_C006	44.8	44.34	44.84
NJAU_C007	44.58	47.23	44.58
NJAU_C008	40.13	43.14	41.76
NJAU_C009	48.93	49.29	48.82
NJAU_C010	42.97	43.7	42.73
NJAU_C012	43.11	42.24	43.06
NJAU_C013	45.04	44.01	43.79
NJAU_C014	41.21	41.09	41.61
NJAU_C015	42.21	40.05	40.89
NJAU_C016	44.15	41.11	NA
NJAU_C017	46.84	48.47	47.42
NJAU_C018	45.42	45.93	45.11
NJAU_C019	39.83	41.78	42.75
NJAU_C020	41.7	43.08	45.99
NJAU_C021	38.85	40.61	41.59
NJAU_C022	42.84	44.11	43.39
NJAU_C023	41.37	40.52	41.65
NJAU_C024	43.22	45.2	43.72
NJAU_C025	42.58	42.06	42.85
NJAU_C026	42.17	42.95	42.64
NJAU_C027	40.03	45.96	44.87
NJAU_C028	46.13	45.28	45.3
NJAU_C029	43.59	46.36	43.41
NJAU_C030	42.69	41.03	42.44
NJAU_C031	44.51	42.09	42.02
NJAU_C032	46.58	47.48	46.75
NJAU_C033	41.92	42.57	42.01
NJAU_C034	50.09	45.3	46.43
NJAU_C035	44.82	42.46	42.71
NJAU_C036	45.77	44.49	43.71
NJAU_C037	46.38	48.48	46.42
NJAU_C038	46.29	48.48	NA
NJAU_C039	41.67	40.94	42.55
NJAU_C040	47.53	49.84	48.54
NJAU_C041	46.39	43.79	44.16
NJAU_C043	43.52	46.14	NA
NJAU_C044	42.64	43.89	44.24
NJAU_C045	42.8	43.52	41.8
NJAU_C046	46.71	46.11	47.66
NJAU_C047	46.06	46.39	43.44
NJAU_C048	42.59	45.56	43.22
NJAU_C049	50.02	47.53	48.4
NJAU_C050	39.24	42.74	44.1
NJAU_C051	41.95	42.45	42.89
NJAU_C052	43.78	45.64	45.41
NJAU_C053	44.66	45.5	43.57
NJAU_C054	43.97	47.86	46.63
NJAU_C055	40.67	41.37	41.22
NJAU_C056	44.69	47.12	46.73
NJAU_C057	38.63	39.73	40.12
NJAU_C058	43.13	44.59	44.23
NJAU_C059	47.83	47.71	48.08
NJAU_C060	40.23	41.93	42.2
NJAU_C061	46.56	43.32	44.49
NJAU_C062	42.82	45.84	44.59
NJAU_C063	44.77	49.01	45.65
NJAU_C064	40.31	43.09	40.91
NJAU_C065	45.96	45.82	47.04
NJAU_C066	49.44	47.33	46.18
NJAU_C067	47.43	46.57	44.95
NJAU_C068	49.92	48.14	46.28
NJAU_C069	47.77	47.38	46.2
NJAU_C070	45.21	46.28	45.28
NJAU_C071	43.58	45.62	44.01
NJAU_C072	NA	42.54	41.82
NJAU_C073	44	46.09	43.57
NJAU_C074	42.72	43.86	44.45
NJAU_C075	43.63	43.26	42.07
NJAU_C076	42.87	43.01	41.23
NJAU_C077	41.4	45.33	44.68
NJAU_C078	39.11	40.3	39.47
NJAU_C079	40.21	41.24	41.73
NJAU_C080	43.59	46.12	44.09
NJAU_C081	45.26	45.61	45.96
NJAU_C082	43.3	42.59	44.85
