Sample	2015	2016	2017	Average
NJAU_C001	19.96666667	22.0845	23.28	21.77705556
NJAU_C002	17.67233333	18.509	25.74666667	20.64266667
NJAU_C003	7.206666667	10.606	13.82333333	10.54533333
NJAU_C004	9.781	14.12333333	10.71333333	11.53922222
NJAU_C005	16.88333333	15.16	30.05666667	20.7
NJAU_C006	10.60133333	10.583	23.80333333	14.99588889
NJAU_C007	21.911	29.838	9.983333333	20.57744444
NJAU_C008	20.748	24.632	4.84	16.74
NJAU_C009	7.851	9.083666667	24.47	13.80155556
NJAU_C010	8.89	7.406	15.74	10.67866667
NJAU_C011	19.27	20.029	18.46333333	19.25411111
NJAU_C012	9.1335	13.72366667	17.42333333	13.42683333
NJAU_C013	13.11433333	15.44133333	7.05	11.86855555
NJAU_C014	8.712	15.044	8.223333333	10.65977778
NJAU_C015	4.666666667	9.0215	7.493333333	7.0605
NJAU_C016	5.705666667	9.4165	20.47	11.86405556
NJAU_C017	11.73	6.707333333	12.56	10.33244444
NJAU_C018	10.45066667	12.02366667	8.683333333	10.38588889
NJAU_C019	9.375666667	11.869	21.73666667	14.32711111
NJAU_C020	6.955666667	8.479333333	13.15333333	9.529444443
NJAU_C021	17.35166667	21.09533333	19.61	19.35233333
NJAU_C022	10.25433333	13.84633333	7.226666667	10.44244444
NJAU_C023	15.01433333	16.8395	23.65	18.50127778
NJAU_C024	6.242	8.621	12.12	8.994333333
NJAU_C025	22.65766667	18.622	11.76666667	17.68211111
NJAU_C026	7.87	9.630333333	9.6	9.033444444
NJAU_C027	12.93333333	10.50966667	23.69	15.711
NJAU_C028	7.982333333	11.2315	7.463333333	8.892388889
NJAU_C029	21.991	20.48233333	9.02	17.16444444
NJAU_C030	5.573333333	7.242666667	10.13333333	7.649777777
NJAU_C031	6.099666667	10.26266667	14.38333333	10.24855556
NJAU_C032	8.107	8.843333333	25.08666667	14.01233333
NJAU_C033	10.07133333	13.64833333	10.97666667	11.56544444
NJAU_C034	18.76666667	19.19933333	29.44	22.46866667
NJAU_C035	10.1	12.6515	32.77333333	18.50827778
NJAU_C036	23.08333333	27.61566667	19.54666667	23.41522222
NJAU_C037	28.05533333	29.29833333	11.18666667	22.84677778
NJAU_C038	15.66666667	20.653	11.20333333	15.841
NJAU_C039	4.926666667	9.241333333	17.38	10.516
NJAU_C040	7.321	7.532	20.26	11.70433333
NJAU_C041	15.62233333	16.76333333	17.81	16.73188889
NJAU_C042	14.532	16.196	7.063333333	12.59711111
NJAU_C043	14.55666667	13.93866667	23.77	17.42177778
NJAU_C044	5.255666667	12.571	17.98	11.93555556
NJAU_C045	11.867	15.78166667	16.89666667	14.84844445
NJAU_C046	22.7	24.26133333	25.93	24.29711111
NJAU_C047	12.111	17.63933333	23.62	17.79011111
NJAU_C048	18.361	25.84666667	15.77333333	19.99366667
NJAU_C049	21.439	23.84866667	13.72333333	19.67033333
