,Sample,2015,2016,2017,Average
7,NJAU_C008,20.748,24.632,4.84,16.74
28,NJAU_C029,21.991,20.48233333,9.02,17.16444444
40,NJAU_C041,15.62233333,16.76333333,17.81,16.73188889
42,NJAU_C043,14.55666667,13.93866667,23.77,17.42177778
59,NJAU_C060,11.22933333,13.95933333,25.21,16.79955555
68,NJAU_C069,15.56833333,15.074,21.35666667,17.333
74,NJAU_C075,20.142,15.02733333,15.51,16.89311111
87,NJAU_C088,,15.9915,18.09,17.04075
90,NJAU_C091,13.14666667,15.38666667,22.61,17.04777778
92,NJAU_C093,14.71366667,17.15566667,16.6,16.15644445
93,NJAU_C094,14.10333333,16.61933333,20.42,17.04755555
102,NJAU_C103,13.50533333,18.15266667,17.89,16.516
104,NJAU_C105,16.091,15.757,19.82333333,17.22377778
111,NJAU_C112,17.03333333,19.39033333,12.72666667,16.38344444
126,NJAU_C127,13.389,14.96266667,20.4,16.25055556
129,NJAU_C130,11.17333333,17.288,22.35333333,16.93822222
135,NJAU_C136,13.73333333,19.50333333,17.39,16.87555555
137,NJAU_C138,11.033,16.0885,24.35333333,17.15827778
144,NJAU_C145,17.394,10.04,22.93,16.788
150,NJAU_C151,18.858,16.7085,12.21333333,15.92661111
152,NJAU_C153,13.04666667,13.25166667,21.91666667,16.07166667
155,NJAU_C156,13.039,16.95866667,18.68333333,16.227
166,NJAU_C167,15.28366667,12.529,22.76666667,16.85977778
174,NJAU_C175,19.501,18.14266667,14.27333333,17.30566667
177,NJAU_C178,14.202,17.14866667,17.49,16.28022222
178,NJAU_C179,11.58333333,13.846,24.91,16.77977778
194,NJAU_C195,13.32533333,19.868,19.17333333,17.45555555
208,NJAU_C209,16.86166667,19.1605,13.10666667,16.37627778
209,NJAU_C210,9.607666667,11.602,30.6,17.26988889
212,NJAU_C213,15.17666667,17.644,,16.41033334
218,NJAU_C219,20.439,22.44,8.146666667,17.00855556
