,Sample,2015,2016,2017,Average
22,NJAU_C023,15.01433333,16.8395,23.65,18.50127778
24,NJAU_C025,22.65766667,18.622,11.76666667,17.68211111
34,NJAU_C035,10.1,12.6515,32.77333333,18.50827778
46,NJAU_C047,12.111,17.63933333,23.62,17.79011111
56,NJAU_C057,18.519,17.49,17.31666667,17.77522222
58,NJAU_C059,16.26,13.01866667,25.6,18.29288889
62,NJAU_C063,20.06433333,22.445,14.27333333,18.92755555
63,NJAU_C064,20.5,21.60666667,14.47333333,18.86
69,NJAU_C070,14.17666667,19.71333333,21.41666667,18.43555556
70,NJAU_C071,18.77333333,19.014,15.44333333,17.74355555
106,NJAU_C107,21.42233333,17.5265,17.01666667,18.65516667
107,NJAU_C108,22.019,21.38833333,13.72666667,19.04466667
108,NJAU_C109,14.01133333,17.69233333,22.38666667,18.03011111
109,NJAU_C110,22.91733333,20.49966667,12.53333333,18.65011111
118,NJAU_C119,19.232,21.00733333,13.17333333,17.80422222
138,NJAU_C139,19.4,24.893,11.00666667,18.43322222
157,NJAU_C158,10.754,12.121,31.07333333,17.98277778
162,NJAU_C163,17.549,17.908,17.59666667,17.68455556
164,NJAU_C165,7.971333333,9.661666667,36.60333333,18.07877778
171,NJAU_C172,18.31266667,18.903,17.82333333,18.34633333
175,NJAU_C176,19.411,19.07133333,14.96,17.81411111
180,NJAU_C181,16.0165,16.07433333,22.51333333,18.20138889
184,NJAU_C185,11.3,17.5315,24.62333333,17.81827778
189,NJAU_C190,20.94333333,25.09766667,7.083333333,17.70811111
192,NJAU_C193,13.69766667,16.3165,24.79666667,18.27027778
196,NJAU_C197,17.78233333,19.66766667,15.92333333,17.79111111
197,NJAU_C198,15.267,16.13866667,21.68666667,17.69744445
205,NJAU_C206,17.11533333,19.547,,18.33116667
210,NJAU_C211,18.329,25.81033333,9.726666667,17.95533333
215,NJAU_C216,24.27766667,12.974,,18.62583334
