,Sample,2015,2016,2017,Average
0,NJAU_C001,16.41,18.05,19.07,17.84333333
5,NJAU_C006,15.9,17.59,18.04,17.17666667
7,NJAU_C008,16.84,18.56,18.88,18.09333333
8,NJAU_C009,16.22,18.29,18.46,17.65666667
10,NJAU_C012,15.21,16.87,17.83,16.63666667
13,NJAU_C015,17.16,16.98,17.27,17.13666667
15,NJAU_C017,16.68,18.11,18.97,17.92
16,NJAU_C018,16.25,18.21,18.23,17.56333333
18,NJAU_C020,16.88,17.62,17.48,17.32666667
19,NJAU_C021,17.35,17.02,17.41,17.26
21,NJAU_C023,16.88,16.84,16.99,16.90333333
26,NJAU_C028,17.32,17.83,16.4,17.18333333
30,NJAU_C032,18.48,16.43,17.6,17.50333333
35,NJAU_C037,18.69,16.54,18.37,17.86666667
41,NJAU_C044,17.43,17.23,18.53,17.73
49,NJAU_C052,16.51,16.53,17.48,16.84
50,NJAU_C053,16.8,18.5,18.43,17.91
54,NJAU_C057,17.5,17.69,16.72,17.30333333
57,NJAU_C060,17.82,17.36,18.88,18.02
58,NJAU_C061,15.61,18.24,17.43,17.09333333
60,NJAU_C063,16.52,17.9,19.2,17.87333333
61,NJAU_C064,16.13,16.48,17.98,16.86333333
64,NJAU_C067,16.33,16.88,17.05,16.75333333
65,NJAU_C068,15.96,16.62,17.94,16.84
70,NJAU_C073,17.39,15.67,17.01,16.69
75,NJAU_C078,16.92,17.09,18.75,17.58666667
76,NJAU_C079,15.61,17.34,18.29,17.08
79,NJAU_C082,18.29,17.54,17.43,17.75333333
82,NJAU_C085,16.55,17.48,18.86,17.63
88,NJAU_C091,15.54,19.9,16.39,17.27666667
91,NJAU_C094,17.37,19.01,18.42,18.26666667
95,NJAU_C098,15.8,16.84,17.99,16.87666667
96,NJAU_C099,14.87,18.58,19.75,17.73333333
97,NJAU_C100,17.04,16.7,18.83,17.52333333
100,NJAU_C103,17.22,17.37,19.33,17.97333333
101,NJAU_C104,17.35,17.06,18.16,17.52333333
103,NJAU_C106,15.53,16.89,19.18,17.2
107,NJAU_C110,17.78,16.23,17.33,17.11333333
114,NJAU_C117,18.99,17.0,17.98,17.99
117,NJAU_C120,17.23,17.16,18.58,17.65666667
118,NJAU_C121,17.25,16.84,18.95,17.68
119,NJAU_C123,17.7,18.19,18.82,18.23666667
122,NJAU_C126,17.33,16.41,18.95,17.56333333
124,NJAU_C128,17.22,17.49,19.53,18.08
126,NJAU_C130,16.08,16.87,18.21,17.05333333
129,NJAU_C133,17.32,16.45,17.46,17.07666667
133,NJAU_C139,16.7,16.41,18.3,17.13666667
135,NJAU_C141,17.22,16.11,17.9,17.07666667
137,NJAU_C143,17.7,17.56,18.63,17.96333333
142,NJAU_C148,17.31,17.18,18.45,17.64666667
146,NJAU_C152,16.55,16.51,18.73,17.26333333
152,NJAU_C158,15.9,15.48,18.53,16.63666667
155,NJAU_C161,16.94,15.7,17.99,16.87666667
158,NJAU_C164,17.46,17.01,18.65,17.70666667
159,NJAU_C165,16.82,17.71,18.99,17.84
163,NJAU_C169,16.72,16.79,18.21,17.24
168,NJAU_C175,17.09,15.79,17.34,16.74
170,NJAU_C177,17.25,16.91,18.93,17.69666667
173,NJAU_C180,16.39,16.43,18.35,17.05666667
179,NJAU_C186,17.48,15.49,17.12,16.69666667
181,NJAU_C188,16.64,17.56,17.85,17.35
182,NJAU_C189,16.42,17.38,18.62,17.47333333
185,NJAU_C193,16.92,18.24,18.57,17.91
186,NJAU_C194,17.07,17.46,17.3,17.27666667
187,NJAU_C195,17.22,17.97,18.13,17.77333333
192,NJAU_C200,16.4,17.93,18.59,17.64
198,NJAU_C206,16.22,16.67,17.64,16.84333333
202,NJAU_C211,17.57,16.0,18.46,17.34333333
203,NJAU_C212,17.85,18.4,17.66,17.97
204,NJAU_C213,15.6,16.45,18.14,16.73
205,NJAU_C214,15.82,16.96,17.17,16.65
206,NJAU_C215,17.27,16.57,18.24,17.36
