,Sample,2015,2016,2017,Average
4,NJAU_C005,19.09,19.45,19.91,19.48333333
56,NJAU_C059,17.76,18.78,20.17,18.90333333
66,NJAU_C069,17.33,19.98,19.54,18.95
69,NJAU_C072,,18.31,20.11,19.21
74,NJAU_C077,17.81,19.47,18.84,18.70666667
85,NJAU_C088,17.66,18.32,19.3,18.42666667
89,NJAU_C092,20.44,14.88,20.86,18.72666667
98,NJAU_C101,17.61,19.99,21.01,19.53666667
99,NJAU_C102,18.55,20.08,20.65,19.76
105,NJAU_C108,18.66,19.43,20.17,19.42
115,NJAU_C118,18.5,20.19,20.3,19.66333333
127,NJAU_C131,18.73,19.5,20.26,19.49666667
128,NJAU_C132,20.22,17.71,20.78,19.57
143,NJAU_C149,18.74,18.14,21.12,19.33333333
147,NJAU_C153,18.5,17.65,19.59,18.58
148,NJAU_C154,18.71,17.99,20.72,19.14
149,NJAU_C155,17.97,18.89,21.58,19.48
153,NJAU_C159,16.48,19.0,19.52,18.33333333
157,NJAU_C163,17.93,20.1,20.73,19.58666667
161,NJAU_C167,18.08,19.79,19.61,19.16
171,NJAU_C178,18.03,17.87,21.09,18.99666667
174,NJAU_C181,19.7,17.68,20.06,19.14666667
194,NJAU_C202,18.42,19.23,20.3,19.31666667
201,NJAU_C209,19.09,18.71,20.77,19.52333333
207,NJAU_C216,18.56,18.54,20.56,19.22
208,NJAU_C217,18.46,17.82,20.23,18.83666667
