,Sample,2015,2016,2017,Average
1,NJAU_C002,43.51,45.92,43.65,44.36
3,NJAU_C004,47.16,43.91,44.21,45.09333333
4,NJAU_C005,46.86,48.67,47.49,47.67333333
5,NJAU_C006,44.8,44.34,44.84,44.66
6,NJAU_C007,44.58,47.23,44.58,45.46333333
11,NJAU_C013,45.04,44.01,43.79,44.28
15,NJAU_C017,46.84,48.47,47.42,47.57666667
16,NJAU_C018,45.42,45.93,45.11,45.48666667
18,NJAU_C020,41.7,43.08,45.99,43.59
22,NJAU_C024,43.22,45.2,43.72,44.04666667
25,NJAU_C027,40.03,45.96,44.87,43.62
26,NJAU_C028,46.13,45.28,45.3,45.57
27,NJAU_C029,43.59,46.36,43.41,44.45333333
30,NJAU_C032,46.58,47.48,46.75,46.93666667
32,NJAU_C034,50.09,45.3,46.43,47.27333333
34,NJAU_C036,45.77,44.49,43.71,44.65666667
35,NJAU_C037,46.38,48.48,46.42,47.09333333
36,NJAU_C038,46.29,48.48,,47.385
39,NJAU_C041,46.39,43.79,44.16,44.78
40,NJAU_C043,43.52,46.14,,44.83
41,NJAU_C044,42.64,43.89,44.24,43.59
43,NJAU_C046,46.71,46.11,47.66,46.82666667
44,NJAU_C047,46.06,46.39,43.44,45.29666667
45,NJAU_C048,42.59,45.56,43.22,43.79
49,NJAU_C052,43.78,45.64,45.41,44.94333333
50,NJAU_C053,44.66,45.5,43.57,44.57666667
51,NJAU_C054,43.97,47.86,46.63,46.15333333
53,NJAU_C056,44.69,47.12,46.73,46.18
55,NJAU_C058,43.13,44.59,44.23,43.98333333
58,NJAU_C061,46.56,43.32,44.49,44.79
59,NJAU_C062,42.82,45.84,44.59,44.41666667
60,NJAU_C063,44.77,49.01,45.65,46.47666667
62,NJAU_C065,45.96,45.82,47.04,46.27333333
63,NJAU_C066,49.44,47.33,46.18,47.65
64,NJAU_C067,47.43,46.57,44.95,46.31666667
66,NJAU_C069,47.77,47.38,46.2,47.11666667
67,NJAU_C070,45.21,46.28,45.28,45.59
68,NJAU_C071,43.58,45.62,44.01,44.40333333
70,NJAU_C073,44.0,46.09,43.57,44.55333333
71,NJAU_C074,42.72,43.86,44.45,43.67666667
74,NJAU_C077,41.4,45.33,44.68,43.80333333
77,NJAU_C080,43.59,46.12,44.09,44.6
78,NJAU_C081,45.26,45.61,45.96,45.61
79,NJAU_C082,43.3,42.59,44.85,43.58
83,NJAU_C086,44.49,45.98,42.21,44.22666667
87,NJAU_C090,45.5,47.97,47.82,47.09666667
88,NJAU_C091,44.56,46.61,44.86,45.34333333
89,NJAU_C092,44.97,46.7,45.45,45.70666667
92,NJAU_C095,40.89,45.74,47.08,44.57
93,NJAU_C096,42.48,45.2,45.47,44.38333333
94,NJAU_C097,43.19,45.17,43.92,44.09333333
98,NJAU_C101,43.08,44.32,44.6,44.0
102,NJAU_C105,42.51,46.83,43.81,44.38333333
104,NJAU_C107,43.73,46.46,45.12,45.10333333
107,NJAU_C110,45.29,48.2,45.95,46.48
109,NJAU_C112,44.28,44.31,42.92,43.83666667
110,NJAU_C113,45.31,47.66,44.35,45.77333333
112,NJAU_C115,40.99,46.07,45.79,44.28333333
113,NJAU_C116,41.24,45.36,44.79,43.79666667
114,NJAU_C117,45.29,47.32,45.05,45.88666667
115,NJAU_C118,44.7,45.77,44.59,45.02
116,NJAU_C119,43.57,46.4,42.87,44.28
117,NJAU_C120,44.01,46.19,44.55,44.91666667
120,NJAU_C124,42.47,46.18,43.05,43.9
121,NJAU_C125,42.38,45.38,43.15,43.63666667
127,NJAU_C131,43.47,46.06,46.09,45.20666667
132,NJAU_C138,43.96,46.63,44.63,45.07333333
136,NJAU_C142,43.14,46.43,44.18,44.58333333
139,NJAU_C145,41.63,46.51,42.5,43.54666667
140,NJAU_C146,44.8,45.12,45.67,45.19666667
141,NJAU_C147,43.38,44.37,45.37,44.37333333
143,NJAU_C149,42.91,45.39,45.0,44.43333333
145,NJAU_C151,47.97,47.52,46.92,47.47
149,NJAU_C155,44.06,45.89,42.77,44.24
151,NJAU_C157,43.72,44.66,44.14,44.17333333
153,NJAU_C159,44.72,46.07,44.48,45.09
158,NJAU_C164,42.35,44.55,44.17,43.69
161,NJAU_C167,46.95,44.41,44.62,45.32666667
162,NJAU_C168,42.64,46.23,42.69,43.85333333
163,NJAU_C169,44.43,44.41,45.24,44.69333333
164,NJAU_C171,45.2,47.11,43.46,45.25666667
165,NJAU_C172,43.69,44.76,43.75,44.06666667
166,NJAU_C173,44.08,49.4,47.14,46.87333333
169,NJAU_C176,42.64,45.03,45.9,44.52333333
172,NJAU_C179,43.78,46.0,43.42,44.4
173,NJAU_C180,43.77,43.62,44.86,44.08333333
174,NJAU_C181,43.26,46.54,42.98,44.26
176,NJAU_C183,43.61,44.9,44.64,44.38333333
178,NJAU_C185,44.0,47.34,47.49,46.27666667
180,NJAU_C187,42.6,46.4,44.26,44.42
181,NJAU_C188,44.95,46.32,47.14,46.13666667
183,NJAU_C190,43.87,46.21,44.21,44.76333333
184,NJAU_C191,43.85,46.43,46.3,45.52666667
193,NJAU_C201,44.08,43.75,45.44,44.42333333
199,NJAU_C207,44.34,44.24,43.48,44.02
200,NJAU_C208,42.83,44.91,44.63,44.12333333
201,NJAU_C209,44.24,45.76,44.22,44.74
205,NJAU_C214,43.23,46.43,44.6,44.75333333
209,NJAU_C218,41.69,46.06,45.29,44.34666667
210,NJAU_C219,43.43,46.11,45.56,45.03333333
