,Sample,2015,2016,2017,Average
1,NJAU_C002,31.19,27.13,32.55,30.29
2,NJAU_C003,31.67,26.91,32.23,30.27
5,NJAU_C006,31.57,24.47,29.5,28.51333333
10,NJAU_C012,32.91,26.23,32.07,30.40333333
11,NJAU_C013,30.9,26.93,31.1,29.64333333
12,NJAU_C014,29.52,26.2,31.54,29.08666667
17,NJAU_C019,28.19,26.55,31.31,28.68333333
22,NJAU_C024,30.61,26.92,31.47,29.66666667
24,NJAU_C026,33.15,26.69,31.6,30.48
27,NJAU_C029,31.83,27.45,31.36,30.21333333
28,NJAU_C030,31.21,24.33,29.52,28.35333333
31,NJAU_C033,30.52,27.42,31.63,29.85666667
33,NJAU_C035,33.03,24.95,30.04,29.34
37,NJAU_C039,31.26,25.56,31.96,29.59333333
42,NJAU_C045,32.81,27.18,30.39,30.12666667
45,NJAU_C048,29.92,26.64,30.7,29.08666667
46,NJAU_C049,31.74,24.61,27.4,27.91666667
47,NJAU_C050,30.14,26.09,32.22,29.48333333
48,NJAU_C051,33.23,24.93,29.69,29.28333333
52,NJAU_C055,30.33,25.8,28.94,28.35666667
55,NJAU_C058,30.79,25.72,29.29,28.6
59,NJAU_C062,30.93,28.48,31.11,30.17333333
68,NJAU_C071,33.17,27.26,31.34,30.59
70,NJAU_C073,24.54,28.61,30.43,27.86
71,NJAU_C074,30.33,26.16,28.92,28.47
72,NJAU_C075,32.18,24.44,29.15,28.59
81,NJAU_C084,29.75,26.14,30.72,28.87
84,NJAU_C087,34.23,25.38,30.85,30.15333333
94,NJAU_C097,31.93,25.24,30.67,29.28
106,NJAU_C109,28.78,26.83,30.24,28.61666667
109,NJAU_C112,26.72,28.99,31.94,29.21666667
110,NJAU_C113,34.83,25.91,31.08,30.60666667
112,NJAU_C115,29.2,29.4,32.4,30.33333333
123,NJAU_C127,31.35,27.69,30.21,29.75
125,NJAU_C129,28.06,26.84,30.17,28.35666667
131,NJAU_C137,29.41,26.73,28.33,28.15666667
134,NJAU_C140,31.33,25.03,27.33,27.89666667
138,NJAU_C144,33.54,23.36,29.15,28.68333333
139,NJAU_C145,31.99,23.75,29.71,28.48333333
144,NJAU_C150,33.88,24.07,29.23,29.06
150,NJAU_C156,32.58,26.77,29.95,29.76666667
160,NJAU_C166,28.72,28.08,30.6,29.13333333
162,NJAU_C168,34.27,27.05,29.71,30.34333333
165,NJAU_C172,33.17,26.36,30.56,30.03
167,NJAU_C174,27.82,26.54,30.8,28.38666667
176,NJAU_C183,32.0,27.71,30.92,30.21
177,NJAU_C184,32.34,27.85,28.52,29.57
178,NJAU_C185,30.14,28.72,32.92,30.59333333
180,NJAU_C187,31.91,27.24,31.13,30.09333333
183,NJAU_C190,33.54,27.97,29.47,30.32666667
191,NJAU_C199,32.19,25.47,30.91,29.52333333
195,NJAU_C203,30.41,26.31,30.0,28.90666667
197,NJAU_C205,30.16,25.51,31.85,29.17333333
200,NJAU_C208,31.49,29.02,30.55,30.35333333
205,NJAU_C214,30.91,25.6,29.88,28.79666667
209,NJAU_C218,29.63,26.56,31.03,29.07333333
210,NJAU_C219,32.28,27.48,29.88,29.88
