,Sample,2015,2016,2017,Average
3,NJAU_C004,33.11,26.45,32.53,30.69666667
6,NJAU_C007,34.67,30.31,35.25,33.41
9,NJAU_C010,32.62,27.07,34.12,31.27
20,NJAU_C022,31.53,29.83,33.79,31.71666667
23,NJAU_C025,32.81,28.68,32.18,31.22333333
29,NJAU_C031,33.98,27.59,32.71,31.42666667
39,NJAU_C041,36.33,29.98,33.71,33.34
77,NJAU_C080,34.24,28.1,33.24,31.86
83,NJAU_C086,34.24,28.61,30.06,30.97
90,NJAU_C093,32.33,27.41,32.73,30.82333333
92,NJAU_C095,31.02,31.48,34.58,32.36
93,NJAU_C096,32.68,27.15,33.35,31.06
102,NJAU_C105,32.88,30.31,31.04,31.41
104,NJAU_C107,32.75,27.74,32.02,30.83666667
108,NJAU_C111,32.46,27.32,33.57,31.11666667
116,NJAU_C119,32.28,32.04,31.67,31.99666667
120,NJAU_C124,31.83,31.93,31.34,31.7
121,NJAU_C125,32.29,30.01,30.93,31.07666667
130,NJAU_C135,31.35,31.27,31.64,31.42
132,NJAU_C138,33.28,28.89,30.75,30.97333333
136,NJAU_C142,32.1,29.52,31.01,30.87666667
164,NJAU_C171,33.78,28.54,30.91,31.07666667
172,NJAU_C179,33.7,30.2,33.61,32.50333333
184,NJAU_C191,31.61,29.64,32.62,31.29
188,NJAU_C196,34.14,29.08,32.78,32.0
189,NJAU_C197,31.27,30.72,32.8,31.59666667
193,NJAU_C201,32.63,28.89,33.94,31.82
199,NJAU_C207,34.85,27.16,31.22,31.07666667
