,Sample,2015,2016,2017,Average
5,NJAU_C006,10.60133333,10.583,23.80333333,14.99588889
18,NJAU_C019,9.375666667,11.869,21.73666667,14.32711111
26,NJAU_C027,12.93333333,10.50966667,23.69,15.711
37,NJAU_C038,15.66666667,20.653,11.20333333,15.841
44,NJAU_C045,11.867,15.78166667,16.89666667,14.84844445
49,NJAU_C050,12.53433333,17.04633333,18.01333333,15.86466666
50,NJAU_C051,13.811,18.089,13.41666667,15.10555556
52,NJAU_C053,6.533666667,10.74766667,25.73333333,14.33822222
57,NJAU_C058,12.602,19.952,11.77,14.77466667
64,NJAU_C065,9.921,9.437,24.33333333,14.56377778
65,NJAU_C066,10.889,14.349,21.97666667,15.73822222
72,NJAU_C073,10.21466667,13.62766667,19.16666667,14.33633334
76,NJAU_C077,12.22766667,15.25766667,19.4,15.62844445
79,NJAU_C080,12.135,14.63866667,17.49666667,14.75677778
85,NJAU_C086,13.12233333,13.80633333,16.09333333,14.34066666
88,NJAU_C089,12.13666667,12.24233333,19.27,14.54966667
98,NJAU_C099,10.39666667,10.66366667,25.19,15.41677778
115,NJAU_C116,16.782,15.005,13.07666667,14.95455556
117,NJAU_C118,7.87,9.542666667,26.21333333,14.542
130,NJAU_C131,11.225,9.378,26.25333333,15.61877778
136,NJAU_C137,11.578,17.35066667,16.61333333,15.18066667
146,NJAU_C147,13.484,15.492,16.78666667,15.25422222
149,NJAU_C150,10.73333333,13.931,19.12,14.59477778
151,NJAU_C152,14.83,13.907,15.94,14.89233333
159,NJAU_C160,6.389666667,11.82,28.95333333,15.721
172,NJAU_C173,11.47133333,13.144,20.69333333,15.10288889
181,NJAU_C182,12.289,13.06066667,21.39,15.57988889
182,NJAU_C183,10.7,18.407,17.04,15.38233333
186,NJAU_C187,12.41,16.30366667,18.67,15.79455556
190,NJAU_C191,13.49866667,13.88066667,20.27,15.88311111
200,NJAU_C201,16.53333333,19.15,11.28666667,15.65666667
201,NJAU_C202,12.378,15.56566667,19.19666667,15.71344445
206,NJAU_C207,8.620333333,12.90533333,22.42666667,14.65077778
207,NJAU_C208,13.63,16.72866667,,15.17933334
