,Sample,2015,2016,2017,Average
3,NJAU_C004,9.781,14.12333333,10.71333333,11.53922222
12,NJAU_C013,13.11433333,15.44133333,7.05,11.86855555
15,NJAU_C016,5.705666667,9.4165,20.47,11.86405556
32,NJAU_C033,10.07133333,13.64833333,10.97666667,11.56544444
39,NJAU_C040,7.321,7.532,20.26,11.70433333
41,NJAU_C042,14.532,16.196,7.063333333,12.59711111
43,NJAU_C044,5.255666667,12.571,17.98,11.93555556
80,NJAU_C081,8.567333333,13.549,15.19,12.43544444
81,NJAU_C082,15.011,12.57233333,8.993333333,12.19222222
100,NJAU_C101,10.46566667,11.69233333,14.54666667,12.23488889
101,NJAU_C102,4.707666667,7.561,24.11,12.12622222
105,NJAU_C106,8.944333333,13.87633333,14.11,12.31022222
112,NJAU_C113,11.631,12.2585,9.813333333,11.23427778
114,NJAU_C115,9.153,12.213,14.81333333,12.05977778
116,NJAU_C117,10.831,11.467,12.03333333,11.44377778
119,NJAU_C120,10.72666667,10.9365,12.1,11.25438889
120,NJAU_C121,9.041666667,11.355,17.26666667,12.55444445
123,NJAU_C124,11.969,12.3975,13.08666667,12.48438889
124,NJAU_C125,9.661333333,12.8015,11.06333333,11.17538889
128,NJAU_C129,11.44533333,11.337,10.60666667,11.12966667
141,NJAU_C142,13.01566667,11.865,11.46333333,12.11466667
147,NJAU_C148,9.978,9.707333333,14.05,11.24511111
168,NJAU_C169,7.333333333,9.251,17.33,11.30477778
176,NJAU_C177,14.241,15.6305,6.916666667,12.26272222
214,NJAU_C215,9.73,15.621,9.146666667,11.49922222
217,NJAU_C218,5.133,7.561,25.24333333,12.64577778
