,Sample,2015,2016,2017,Average
6,NJAU_C007,12.84,14.02,14.97,13.94333333
20,NJAU_C022,14.69,14.41,15.47,14.85666667
34,NJAU_C036,12.29,13.29,14.38,13.32
36,NJAU_C038,13.94,13.29,,13.615
38,NJAU_C040,14.76,14.81,15.01,14.86
39,NJAU_C041,12.51,14.06,16.09,14.22
46,NJAU_C049,12.52,14.5,15.64,14.22
67,NJAU_C070,12.51,13.55,13.97,13.34333333
92,NJAU_C095,14.93,14.0,15.93,14.95333333
110,NJAU_C113,12.71,14.28,15.67,14.22
116,NJAU_C119,15.13,13.24,16.03,14.8
120,NJAU_C124,15.18,13.18,16.22,14.86
130,NJAU_C135,15.09,13.11,16.05,14.75
164,NJAU_C171,13.75,14.57,16.48,14.93333333
166,NJAU_C173,14.29,11.53,14.62,13.48
169,NJAU_C176,13.5,13.58,14.66,13.91333333
172,NJAU_C179,13.07,13.59,15.58,14.08
188,NJAU_C196,13.37,14.23,15.13,14.24333333
189,NJAU_C197,14.63,13.1,15.04,14.25666667
