Taxa	2015yzBL	2016yzBL	2017yzBL
NJAU_C001	31.08	22.5	28.63
NJAU_C002	31.19	27.13	32.55
NJAU_C003	31.67	26.91	32.23
NJAU_C004	33.11	26.45	32.53
NJAU_C005	NA	NA	NA
NJAU_C006	31.57	24.47	29.5
NJAU_C007	34.67	30.31	35.25
NJAU_C008	26.99	21.09	29.89
NJAU_C009	NA	NA	NA
NJAU_C010	32.62	27.07	34.12
NJAU_C012	32.91	26.23	32.07
NJAU_C013	30.9	26.93	31.1
NJAU_C014	29.52	26.2	31.54
NJAU_C015	24.55	24.08	30.38
NJAU_C016	30.29	23.33	NA
NJAU_C017	NA	NA	NA
NJAU_C018	NA	NA	NA
NJAU_C019	28.19	26.55	31.31
NJAU_C020	27.08	23.05	29.76
NJAU_C021	26.49	24.41	29.64
NJAU_C022	31.53	29.83	33.79
NJAU_C023	24.53	24.36	31.68
NJAU_C024	30.61	26.92	31.47
NJAU_C025	32.81	28.68	32.18
NJAU_C026	33.15	26.69	31.6
NJAU_C027	32.58	34.83	36.74
NJAU_C028	NA	NA	NA
NJAU_C029	31.83	27.45	31.36
NJAU_C030	31.21	24.33	29.52
NJAU_C031	33.98	27.59	32.71
NJAU_C032	NA	NA	NA
NJAU_C033	30.52	27.42	31.63
NJAU_C034	42.0	30.14	36.06
NJAU_C035	33.03	24.95	30.04
NJAU_C036	36.37	30.19	33.77
NJAU_C037	NA	NA	NA
NJAU_C038	27.53	26.78	NA
NJAU_C039	31.26	25.56	31.96
NJAU_C040	NA	NA	NA
NJAU_C041	36.33	29.98	33.71
NJAU_C043	35.48	31.41	NA
NJAU_C044	27.56	24.15	29.12
NJAU_C045	32.81	27.18	30.39
NJAU_C046	NA	NA	NA
NJAU_C047	36.87	35.23	35.74
NJAU_C048	29.92	26.64	30.7
NJAU_C049	31.74	24.61	27.4
NJAU_C050	30.14	26.09	32.22
NJAU_C051	33.23	24.93	29.69
NJAU_C052	22.67	19.98	23.12
NJAU_C053	16.15	6.89	15.51
NJAU_C054	35.79	35.44	40.93
NJAU_C055	30.33	25.8	28.94
NJAU_C056	26.47	18.0	24.52
NJAU_C057	24.55	22.86	28.54
NJAU_C058	30.79	25.72	29.29
NJAU_C059	NA	NA	NA
NJAU_C060	26.31	24.12	27.29
NJAU_C061	15.49	21.4	15.03
NJAU_C062	30.93	28.48	31.11
NJAU_C063	NA	NA	NA
NJAU_C064	29.13	23.59	28.49
NJAU_C065	NA	NA	NA
NJAU_C066	NA	NA	NA
NJAU_C067	NA	NA	NA
NJAU_C068	NA	NA	NA
NJAU_C069	NA	NA	NA
NJAU_C070	35.65	32.36	37.11
NJAU_C071	33.17	27.26	31.34
NJAU_C072	NA	NA	NA
NJAU_C073	24.54	28.61	30.43
NJAU_C074	30.33	26.16	28.92
NJAU_C075	32.18	24.44	29.15
NJAU_C076	21.72	19.88	24.95
NJAU_C077	NA	NA	NA
NJAU_C078	26.44	22.65	26.96
NJAU_C079	28.58	21.0	28.1
NJAU_C080	34.24	28.1	33.24
NJAU_C081	29.49	22.35	28.06
NJAU_C082	23.83	24.18	32.42
NJAU_C083	29.54	23.62	NA
NJAU_C084	29.75	26.14	30.72
NJAU_C085	27.09	21.65	27.06
NJAU_C086	34.24	28.61	30.06
NJAU_C087	34.23	25.38	30.85
NJAU_C088	NA	NA	NA
NJAU_C089	41.24	33.29	35.85
NJAU_C090	37.12	28.9	36.5
NJAU_C091	NA	NA	NA
NJAU_C092	NA	NA	NA
NJAU_C093	32.33	27.41	32.73
NJAU_C094	26.28	19.31	27.09
NJAU_C095	31.02	31.48	34.58
NJAU_C096	32.68	27.15	33.35
NJAU_C097	31.93	25.24	30.67
NJAU_C098	29.85	24.45	28.43
NJAU_C099	32.37	20.31	26.0
NJAU_C100	25.64	23.41	27.22
NJAU_C101	NA	NA	NA
NJAU_C102	NA	NA	NA
NJAU_C103	27.36	22.86	26.95
NJAU_C104	26.82	24.33	29.35
NJAU_C105	32.88	30.31	31.04
NJAU_C106	30.3	23.56	27.61
NJAU_C107	32.75	27.74	32.02
NJAU_C108	15.16	7.54	15.46
NJAU_C109	28.78	26.83	30.24
NJAU_C110	NA	NA	NA
NJAU_C111	32.46	27.32	33.57
NJAU_C112	26.72	28.99	31.94
NJAU_C113	34.83	25.91	31.08
NJAU_C114	25.19	20.51	22.82
NJAU_C115	29.2	29.4	32.4
NJAU_C116	NA	NA	NA
NJAU_C117	NA	NA	NA
NJAU_C118	NA	NA	NA
NJAU_C119	32.28	32.04	31.67
NJAU_C120	NA	NA	NA
NJAU_C121	27.09	23.56	25.92
NJAU_C123	20.28	10.98	16.92
NJAU_C124	31.83	31.93	31.34
NJAU_C125	32.29	30.01	30.93
NJAU_C126	26.5	23.87	24.24
NJAU_C127	31.35	27.69	30.21
NJAU_C128	26.82	21.18	23.28
NJAU_C129	28.06	26.84	30.17
NJAU_C130	29.97	24.6	26.59
NJAU_C131	NA	NA	NA
NJAU_C132	9.52	14.46	11.15
NJAU_C133	27.07	24.78	29.12
NJAU_C135	31.35	31.27	31.64
NJAU_C137	29.41	26.73	28.33
NJAU_C138	33.28	28.89	30.75
NJAU_C139	26.77	23.61	26.27
NJAU_C140	31.33	25.03	27.33
NJAU_C141	25.55	24.21	29.69
NJAU_C142	32.1	29.52	31.01
NJAU_C143	18.35	13.41	20.55
NJAU_C144	33.54	23.36	29.15
NJAU_C145	31.99	23.75	29.71
NJAU_C146	NA	NA	NA
NJAU_C147	NA	NA	NA
NJAU_C148	24.38	20.99	25.05
NJAU_C149	NA	NA	NA
NJAU_C150	33.88	24.07	29.23
NJAU_C151	NA	NA	NA
NJAU_C152	20.83	14.4	18.12
NJAU_C153	NA	NA	NA
NJAU_C154	12.79	11.79	10.25
NJAU_C155	NA	NA	NA
NJAU_C156	32.58	26.77	29.95
NJAU_C157	NA	NA	NA
NJAU_C158	22.17	19.83	19.42
NJAU_C159	22.46	9.42	16.12
NJAU_C160	31.18	22.88	27.37
NJAU_C161	26.68	25.78	27.83
NJAU_C162	22.29	17.19	18.63
NJAU_C163	21.24	6.85	17.22
NJAU_C164	NA	NA	NA
NJAU_C165	25.8	21.01	26.01
NJAU_C166	28.72	28.08	30.6
NJAU_C167	NA	NA	NA
NJAU_C168	34.27	27.05	29.71
NJAU_C169	NA	NA	NA
NJAU_C171	33.78	28.54	30.91
NJAU_C172	33.17	26.36	30.56
NJAU_C173	33.44	35.82	36.16
NJAU_C174	27.82	26.54	30.8
NJAU_C175	26.13	25.67	29.47
NJAU_C176	32.75	30.96	36.55
NJAU_C177	25.54	24.03	28.31
NJAU_C178	NA	NA	NA
NJAU_C179	33.7	30.2	33.61
NJAU_C180	28.68	24.57	28.74
NJAU_C181	NA	NA	NA
NJAU_C182	27.15	23.42	28.03
NJAU_C183	32.0	27.71	30.92
NJAU_C184	32.34	27.85	28.52
NJAU_C185	30.14	28.72	32.92
NJAU_C186	24.56	26.75	30.0
NJAU_C187	31.91	27.24	31.13
NJAU_C188	NA	NA	NA
NJAU_C189	28.2	22.71	26.99
NJAU_C190	33.54	27.97	29.47
NJAU_C191	31.61	29.64	32.62
NJAU_C193	27.81	21.53	26.27
NJAU_C194	25.85	22.22	28.26
NJAU_C195	26.17	21.38	26.65
NJAU_C196	34.14	29.08	32.78
NJAU_C197	31.27	30.72	32.8
NJAU_C198	31.46	23.32	28.25
NJAU_C199	32.19	25.47	30.91
NJAU_C200	28.29	20.64	23.67
NJAU_C201	32.63	28.89	33.94
NJAU_C202	23.53	19.81	22.7
NJAU_C203	30.41	26.31	30.0
NJAU_C204	28.75	23.14	31.23
NJAU_C205	30.16	25.51	31.85
NJAU_C206	29.97	22.89	27.51
NJAU_C207	34.85	27.16	31.22
NJAU_C208	31.49	29.02	30.55
NJAU_C209	NA	NA	NA
NJAU_C211	26.35	26.12	26.65
NJAU_C212	23.99	21.36	27.55
NJAU_C213	31.27	24.47	27.63
NJAU_C214	30.91	25.6	29.88
NJAU_C215	27.93	24.3	27.96
NJAU_C216	23.94	18.93	21.48
NJAU_C217	26.66	23.24	23.51
NJAU_C218	29.63	26.56	31.03
NJAU_C219	32.28	27.48	29.88
