loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.08G124400,protein_content,C(type),103.2403308,5,4.929193459,0.00029208
Glyma.08G124400,protein_content,Residual,779.141727,186,NA,NA
Glyma.20G028000,protein_content,C(type),24.6197549,1,5.434912012,0.020724007
Glyma.20G028000,protein_content,Residual,915.0452627,202,NA,NA
Glyma.05G171800,protein_content,C(type),54.46056016,1,12.76313005,0.000454919
Glyma.05G171800,protein_content,Residual,759.5299643,178,NA,NA
Glyma.17G019700,protein_content,C(type),35.62374164,1,7.696159134,0.006050062
Glyma.17G019700,protein_content,Residual,939.6400759,203,NA,NA
Glyma.15G150700,protein_content,C(type),52.84782178,1,11.96877812,0.000663084
Glyma.15G150700,protein_content,Residual,869.8482657,197,NA,NA
Glyma.17G072000,protein_content,C(type),71.28703061,3,5.437418854,0.001312285
Glyma.17G072000,protein_content,Residual,830.3287632,190,NA,NA
Glyma.01G152900,protein_content,C(type),44.96326239,2,4.802433477,0.009249675
Glyma.01G152900,protein_content,Residual,875.403075,187,NA,NA
Glyma.17G161800,protein_content,C(type),58.79178388,2,6.353013209,0.002125756
Glyma.17G161800,protein_content,Residual,897.6532628,194,NA,NA
Glyma.08G366100,protein_content,C(type),43.67486547,1,9.706982129,0.002111234
Glyma.08G366100,protein_content,Residual,881.8676618,196,NA,NA
Glyma.10G030600,protein_content,C(type),18.06736087,1,3.894468758,0.049843539
Glyma.10G030600,protein_content,Residual,913.9295527,197,NA,NA
Glyma.18G128900,protein_content,C(type),49.48055795,2,5.552480769,0.00450593
Glyma.18G128900,protein_content,Residual,882.2318241,198,NA,NA
Glyma.13G119700,protein_content,C(type),20.08212326,1,4.230672386,0.040997648
Glyma.13G119700,protein_content,Residual,949.3584673,200,NA,NA
Glyma.08G101700,protein_content,C(type),71.4700603,2,7.994241674,0.00045637
Glyma.08G101700,protein_content,Residual,898.4893569,201,NA,NA
Glyma.04G171500,protein_content,C(type),24.7882397,1,5.261624754,0.022860948
Glyma.04G171500,protein_content,Residual,923.3830249,196,NA,NA
Glyma.05G222000,protein_content,C(type),37.01113771,2,4.004060747,0.019761363
Glyma.05G222000,protein_content,Residual,901.2315633,195,NA,NA
Glyma.13G009400,protein_content,C(type),38.26161112,3,2.824915035,0.04006171
Glyma.13G009400,protein_content,Residual,830.7195506,184,NA,NA
Glyma.01G179800,protein_content,C(type),56.54451791,1,12.51331496,0.000500696
Glyma.01G179800,protein_content,Residual,917.3058597,203,NA,NA
Glyma.08G099600,protein_content,C(type),35.48582564,1,7.728110415,0.005942751
Glyma.08G099600,protein_content,Residual,941.3160352,205,NA,NA
Glyma.20G138200,protein_content,C(type),47.96963885,3,3.223688751,0.024257939
Glyma.20G138200,protein_content,Residual,778.738673,157,NA,NA
Glyma.02G177000,protein_content,C(type),53.1219251,2,5.812761503,0.00352558
Glyma.02G177000,protein_content,Residual,900.1762104,197,NA,NA
Glyma.13G280300,protein_content,C(type),58.33123607,1,12.9277355,0.000409207
Glyma.13G280300,protein_content,Residual,888.8837107,197,NA,NA
Glyma.04G132100,protein_content,C(type),77.37370936,3,5.663042586,0.000982208
Glyma.04G132100,protein_content,Residual,851.6554739,187,NA,NA
Glyma.11G165900,protein_content,C(type),34.75440417,2,3.880753766,0.022273297
Glyma.11G165900,protein_content,Residual,859.735763,192,NA,NA
Glyma.14G086800,protein_content,C(type),39.61211167,1,8.701799914,0.003556124
Glyma.14G086800,protein_content,Residual,914.9870745,201,NA,NA
Glyma.18G125800,protein_content,C(type),60.50435845,2,6.92452583,0.001240839
Glyma.18G125800,protein_content,Residual,860.6624415,197,NA,NA
Glyma.15G049900,protein_content,C(type),64.57541654,1,15.54553382,0.0001126
Glyma.15G049900,protein_content,Residual,801.712925,193,NA,NA
Glyma.04G165400,protein_content,C(type),70.09806568,3,5.156678578,0.00188674
Glyma.04G165400,protein_content,Residual,874.5245912,193,NA,NA
Glyma.07G214500,protein_content,C(type),43.77420999,2,4.710699394,0.010052963
Glyma.07G214500,protein_content,Residual,901.3732387,194,NA,NA
Glyma.08G106100,protein_content,C(type),97.98985584,1,22.64227155,3.76E-06
Glyma.08G106100,protein_content,Residual,856.8924462,198,NA,NA
Glyma.02G290300,protein_content,C(type),55.16500014,1,12.57288173,0.000503628
Glyma.02G290300,protein_content,Residual,759.0578856,173,NA,NA
Glyma.15G016600,protein_content,C(type),20.83173518,1,4.467195781,0.035760845
Glyma.15G016600,protein_content,Residual,955.9701257,205,NA,NA
Glyma.15G042600,protein_content,C(type),70.43909971,1,15.84475642,9.60E-05
Glyma.15G042600,protein_content,Residual,893.5611673,201,NA,NA
Glyma.04G154100,protein_content,C(type),45.39094401,1,9.76595035,0.002044889
Glyma.04G154100,protein_content,Residual,920.279808,198,NA,NA
Glyma.19G011100,protein_content,C(type),91.56327276,3,6.981969625,0.000171866
Glyma.19G011100,protein_content,Residual,878.654535,201,NA,NA
Glyma.08G169300,protein_content,C(type),69.78685051,3,5.235573638,0.001713077
Glyma.08G169300,protein_content,Residual,835.3066162,188,NA,NA
Glyma.04G135900,protein_content,C(type),87.35995382,2,9.909255801,7.95E-05
Glyma.04G135900,protein_content,Residual,863.9675517,196,NA,NA
Glyma.20G186900,protein_content,C(type),56.2067489,2,6.380107635,0.002108461
Glyma.20G186900,protein_content,Residual,784.0621097,178,NA,NA
Glyma.08G152100,protein_content,C(type),119.8871098,3,9.557098427,6.69E-06
Glyma.08G152100,protein_content,Residual,777.7466002,186,NA,NA
Glyma.08G217900,protein_content,C(type),64.64879672,1,14.55703101,0.000181188
Glyma.08G217900,protein_content,Residual,888.2140414,200,NA,NA
Glyma.13G313900,protein_content,C(type),67.29372156,2,7.591130932,0.000664282
Glyma.13G313900,protein_content,Residual,886.4782095,200,NA,NA
Glyma.12G202400,protein_content,C(type),56.81529793,3,4.091704343,0.007647446
Glyma.12G202400,protein_content,Residual,874.7855342,189,NA,NA
Glyma.15G043600,protein_content,C(type),81.63845046,2,9.302743115,0.000139551
Glyma.15G043600,protein_content,Residual,838.0831248,191,NA,NA
Glyma.08G145100,protein_content,C(type),80.69029384,3,6.17977537,0.00050448
Glyma.08G145100,protein_content,Residual,800.838929,184,NA,NA
Glyma.17G151200,protein_content,C(type),34.58509862,1,7.527569226,0.006625707
Glyma.17G151200,protein_content,Residual,923.4860038,201,NA,NA
Glyma.08G117700,protein_content,C(type),119.8710215,3,9.437243033,7.74E-06
Glyma.08G117700,protein_content,Residual,791.752455,187,NA,NA
Glyma.15G029800,protein_content,C(type),46.68409428,1,9.96983413,0.001852519
Glyma.15G029800,protein_content,Residual,884.9990586,189,NA,NA
Glyma.08G071400,protein_content,C(type),24.61014049,1,5.447618392,0.020582766
Glyma.08G071400,protein_content,Residual,908.0368487,201,NA,NA
Glyma.04G041800,protein_content,C(type),40.36275468,2,4.481883631,0.012539809
Glyma.04G041800,protein_content,Residual,851.0440323,189,NA,NA
Glyma.04G043900,protein_content,C(type),36.28256882,1,8.008618564,0.005130408
Glyma.04G043900,protein_content,Residual,906.0880733,200,NA,NA
Glyma.15G034100,protein_content,C(type),50.86427718,2,5.839037512,0.003551038
Glyma.15G034100,protein_content,Residual,714.307918,164,NA,NA
Glyma.04G043400,protein_content,C(type),30.56949683,1,6.551127834,0.011216693
Glyma.04G043400,protein_content,Residual,937.9253495,201,NA,NA
Glyma.02G139900,protein_content,C(type),64.54430061,2,7.064323329,0.00109556
Glyma.02G139900,protein_content,Residual,877.1190912,192,NA,NA
Glyma.18G157300,protein_content,C(type),39.72061235,1,8.74761488,0.003477351
Glyma.18G157300,protein_content,Residual,899.0657857,198,NA,NA
Glyma.10G206000,protein_content,C(type),32.10021282,1,6.941841373,0.009069737
Glyma.10G206000,protein_content,Residual,938.7052877,203,NA,NA
Glyma.20G226000,protein_content,C(type),47.28164221,2,5.281251284,0.005843097
Glyma.20G226000,protein_content,Residual,868.4152766,194,NA,NA
Glyma.10G024900,protein_content,C(type),22.98487061,1,4.932049773,0.027462972
Glyma.10G024900,protein_content,Residual,950.7028153,204,NA,NA
Glyma.04G093000,protein_content,C(type),43.26398967,1,9.502383538,0.002335665
Glyma.04G093000,protein_content,Residual,928.8042162,204,NA,NA
Glyma.20G075400,protein_content,C(type),48.69223911,2,5.198509782,0.006346501
Glyma.20G075400,protein_content,Residual,880.4581829,188,NA,NA
Glyma.16G027800,protein_content,C(type),88.711625,2,10.22502867,5.97E-05
Glyma.16G027800,protein_content,Residual,850.2410634,196,NA,NA
Glyma.20G070500,protein_content,C(type),40.54856526,1,8.859751665,0.003267741
Glyma.20G070500,protein_content,Residual,933.6500192,204,NA,NA
Glyma.08G104700,protein_content,C(type),106.6173093,3,8.257948148,3.37E-05
Glyma.08G104700,protein_content,Residual,834.9030387,194,NA,NA
Glyma.16G093900,protein_content,C(type),55.63406724,4,3.008694167,0.019731863
Glyma.16G093900,protein_content,Residual,795.1173361,172,NA,NA
Glyma.08G117400,protein_content,C(type),120.6401297,2,15.04722207,8.96E-07
Glyma.08G117400,protein_content,Residual,729.5866141,182,NA,NA
Glyma.05G146100,protein_content,C(type),119.272623,7,3.892663868,0.000597101
Glyma.05G146100,protein_content,Residual,717.8598671,164,NA,NA
Glyma.08G205000,protein_content,C(type),65.46686207,3,4.847903818,0.002857577
Glyma.08G205000,protein_content,Residual,828.2550613,184,NA,NA
Glyma.18G145700,protein_content,C(type),122.6610635,4,7.372718203,1.53E-05
Glyma.18G145700,protein_content,Residual,794.4242033,191,NA,NA
Glyma.08G030300,protein_content,C(type),33.50422439,1,7.421781709,0.00701162
Glyma.08G030300,protein_content,Residual,907.3763372,201,NA,NA
Glyma.15G046500,protein_content,C(type),92.04191591,2,10.79053031,3.57E-05
Glyma.15G046500,protein_content,Residual,840.1930636,197,NA,NA
Glyma.03G017400,protein_content,C(type),53.39138865,2,5.989215773,0.00299799
Glyma.03G017400,protein_content,Residual,855.8004093,192,NA,NA
Glyma.15G045900,protein_content,C(type),100.5547758,2,11.68989681,1.60E-05
Glyma.15G045900,protein_content,Residual,842.9816101,196,NA,NA
Glyma.15G030200,protein_content,C(type),42.12478825,1,9.228075603,0.002699534
Glyma.15G030200,protein_content,Residual,917.5350098,201,NA,NA
Glyma.16G025400,protein_content,C(type),50.24870638,3,3.741158029,0.012208505
Glyma.16G025400,protein_content,Residual,792.4481279,177,NA,NA
Glyma.11G062200,protein_content,C(type),27.4860433,1,5.827452501,0.016697373
Glyma.11G062200,protein_content,Residual,924.4630456,196,NA,NA
Glyma.13G007100,protein_content,C(type),41.47062644,2,4.513175145,0.012190668
Glyma.13G007100,protein_content,Residual,854.5576307,186,NA,NA
Glyma.09G049100,protein_content,C(type),39.58921953,3,2.77655774,0.042651997
Glyma.09G049100,protein_content,Residual,874.5140656,184,NA,NA
Glyma.13G049100,protein_content,C(type),49.80173526,1,11.05469136,0.001063575
Glyma.13G049100,protein_content,Residual,846.9459642,188,NA,NA
Glyma.08G122400,protein_content,C(type),51.63279402,2,5.634324749,0.004221101
Glyma.08G122400,protein_content,Residual,838.5034345,183,NA,NA
Glyma.08G205400,protein_content,C(type),102.304551,3,8.087745775,4.25E-05
Glyma.08G205400,protein_content,Residual,801.1241217,190,NA,NA
Glyma.18G117800,protein_content,C(type),76.94736119,2,8.978445788,0.000189511
Glyma.18G117800,protein_content,Residual,797.0315531,186,NA,NA
Glyma.04G050400,protein_content,C(type),55.60467483,1,12.79205227,0.000442656
Glyma.04G050400,protein_content,Residual,817.2010752,188,NA,NA
Glyma.18G170700,protein_content,C(type),27.69285421,1,5.939826039,0.015672554
Glyma.18G170700,protein_content,Residual,937.1088749,201,NA,NA
Glyma.10G264400,protein_content,C(type),49.55425779,3,3.638312621,0.013768503
Glyma.10G264400,protein_content,Residual,898.9279798,198,NA,NA
Glyma.13G142200,protein_content,C(type),47.49453158,2,5.085756565,0.00712999
Glyma.13G142200,protein_content,Residual,817.1392909,175,NA,NA
Glyma.17G241600,protein_content,C(type),46.72358371,3,3.282024843,0.022149924
Glyma.17G241600,protein_content,Residual,858.9177979,181,NA,NA
Glyma.17G071400,protein_content,C(type),62.63145148,2,6.996901077,0.001168011
