loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.18G019800,water_soluble_protein,C(type),315.0654201,3,4.747877727,0.003511148
Glyma.18G019800,water_soluble_protein,Residual,3008.284234,136,NA,NA
Glyma.20G087700,water_soluble_protein,C(type),294.4187968,1,13.82319087,0.000277913
Glyma.20G087700,water_soluble_protein,Residual,3386.525524,159,NA,NA
Glyma.10G030200,water_soluble_protein,C(type),108.4914082,1,4.94569127,0.027592125
Glyma.10G030200,water_soluble_protein,Residual,3422.101937,156,NA,NA
Glyma.10G030600,water_soluble_protein,C(type),120.1257825,1,5.872890302,0.016505466
Glyma.10G030600,water_soluble_protein,Residual,3231.777312,158,NA,NA
Glyma.15G268400,water_soluble_protein,C(type),439.8055516,2,10.53467623,5.09E-05
Glyma.15G268400,water_soluble_protein,Residual,3277.246973,157,NA,NA
Glyma.08G281900,water_soluble_protein,C(type),178.1556117,1,8.05549075,0.005128665
Glyma.08G281900,water_soluble_protein,Residual,3516.451467,159,NA,NA
Glyma.10G081100,water_soluble_protein,C(type),309.5796135,1,14.39990518,0.00021018
Glyma.10G081100,water_soluble_protein,Residual,3396.798681,158,NA,NA
Glyma.02G034700,water_soluble_protein,C(type),234.6077415,3,3.763131725,0.012162478
Glyma.02G034700,water_soluble_protein,Residual,3117.187474,150,NA,NA
Glyma.02G001800,water_soluble_protein,C(type),173.5664293,1,8.552758687,0.003982141
Glyma.02G001800,water_soluble_protein,Residual,3064.336524,151,NA,NA
Glyma.11G086000,water_soluble_protein,C(type),294.5611519,2,6.699742858,0.001616501
Glyma.11G086000,water_soluble_protein,Residual,3429.350997,156,NA,NA
Glyma.05G050300,water_soluble_protein,C(type),268.0971875,2,6.774529502,0.001533393
Glyma.05G050300,water_soluble_protein,Residual,2908.710232,147,NA,NA
Glyma.08G099600,water_soluble_protein,C(type),196.1818467,1,8.976067105,0.003165709
Glyma.08G099600,water_soluble_protein,Residual,3540.688677,162,NA,NA
Glyma.06G211700,water_soluble_protein,C(type),158.7672922,2,3.578610469,0.030322772
Glyma.06G211700,water_soluble_protein,Residual,3327.42192,150,NA,NA
Glyma.13G214300,water_soluble_protein,C(type),260.4705976,2,6.236672457,0.002479049
Glyma.13G214300,water_soluble_protein,Residual,3257.619629,156,NA,NA
Glyma.08G151600,water_soluble_protein,C(type),462.7963207,3,7.231938883,0.000146776
Glyma.08G151600,water_soluble_protein,Residual,3135.676349,147,NA,NA
Glyma.18G228400,water_soluble_protein,C(type),327.1827122,2,7.513128952,0.000787668
Glyma.18G228400,water_soluble_protein,Residual,3135.46532,144,NA,NA
Glyma.02G047900,water_soluble_protein,C(type),265.1138349,2,6.114171954,0.002780931
Glyma.02G047900,water_soluble_protein,Residual,3360.442323,155,NA,NA
Glyma.15G038400,water_soluble_protein,C(type),173.2233562,3,2.923432199,0.035955118
Glyma.15G038400,water_soluble_protein,Residual,2903.417584,147,NA,NA
Glyma.16G078900,water_soluble_protein,C(type),307.7379267,4,3.69013102,0.006835891
Glyma.16G078900,water_soluble_protein,Residual,3002.214637,144,NA,NA
Glyma.18G139700,water_soluble_protein,C(type),285.7854186,3,4.450625533,0.004997178
Glyma.18G139700,water_soluble_protein,Residual,3253.429081,152,NA,NA
Glyma.10G196900,water_soluble_protein,C(type),212.1258154,2,5.000707019,0.007890743
Glyma.10G196900,water_soluble_protein,Residual,3202.646946,151,NA,NA
Glyma.04G154100,water_soluble_protein,C(type),254.8915195,1,11.59355479,0.000841494
Glyma.04G154100,water_soluble_protein,Residual,3429.757117,156,NA,NA
Glyma.04G135900,water_soluble_protein,C(type),235.1949943,2,5.450899665,0.005155213
Glyma.04G135900,water_soluble_protein,Residual,3343.963965,155,NA,NA
Glyma.04G113400,water_soluble_protein,C(type),269.1345409,2,6.144985298,0.002691369
Glyma.04G113400,water_soluble_protein,Residual,3459.99668,158,NA,NA
Glyma.08G152100,water_soluble_protein,C(type),448.9702757,3,7.274587022,0.000138569
Glyma.08G152100,water_soluble_protein,Residual,3044.736451,148,NA,NA
Glyma.18G138500,water_soluble_protein,C(type),258.919242,2,6.130678171,0.00273487
Glyma.18G138500,water_soluble_protein,Residual,3294.2034,156,NA,NA
Glyma.16G089000,water_soluble_protein,C(type),118.7701361,1,5.333044391,0.022245116
Glyma.16G089000,water_soluble_protein,Residual,3451.944095,155,NA,NA
Glyma.03G230900,water_soluble_protein,C(type),157.2715468,1,7.039447443,0.008777383
Glyma.03G230900,water_soluble_protein,Residual,3574.633903,160,NA,NA
Glyma.08G325300,water_soluble_protein,C(type),198.367539,2,4.548047198,0.012164247
Glyma.08G325300,water_soluble_protein,Residual,3118.542623,143,NA,NA
Glyma.14G064700,water_soluble_protein,C(type),213.0531162,2,4.875744424,0.009221143
Glyma.14G064700,water_soluble_protein,Residual,2599.94358,119,NA,NA
Glyma.01G239300,water_soluble_protein,C(type),163.9277937,1,7.366533603,0.007413019
Glyma.01G239300,water_soluble_protein,Residual,3382.462632,152,NA,NA
Glyma.02G299300,water_soluble_protein,C(type),160.2287019,2,3.906362431,0.022249644
Glyma.02G299300,water_soluble_protein,Residual,2994.267799,146,NA,NA
Glyma.09G019500,water_soluble_protein,C(type),130.7295147,1,5.727608725,0.017904253
Glyma.09G019500,water_soluble_protein,Residual,3514.965185,154,NA,NA
Glyma.04G124100,water_soluble_protein,C(type),108.4718748,1,4.77513699,0.030336854
Glyma.04G124100,water_soluble_protein,Residual,3611.839436,159,NA,NA
Glyma.18G242700,water_soluble_protein,C(type),247.5263215,1,11.4919199,0.000878019
Glyma.18G242700,water_soluble_protein,Residual,3489.344202,162,NA,NA
Glyma.12G107000,water_soluble_protein,C(type),190.1493165,1,8.441713304,0.004230386
Glyma.12G107000,water_soluble_protein,Residual,3333.695167,148,NA,NA
Glyma.12G077600,water_soluble_protein,C(type),192.1881753,1,8.783434264,0.003498489
Glyma.12G077600,water_soluble_protein,Residual,3544.682348,162,NA,NA
Glyma.08G117700,water_soluble_protein,C(type),187.9744595,3,2.856384016,0.039185428
Glyma.08G117700,water_soluble_protein,Residual,3224.618421,147,NA,NA
Glyma.12G136000,water_soluble_protein,C(type),115.5203788,1,4.989492398,0.02696156
Glyma.12G136000,water_soluble_protein,Residual,3519.215219,152,NA,NA
Glyma.13G155300,water_soluble_protein,C(type),250.2642793,2,5.938552561,0.003260293
Glyma.13G155300,water_soluble_protein,Residual,3329.241909,158,NA,NA
Glyma.15G274600,water_soluble_protein,C(type),205.4254445,1,8.994302063,0.003165238
Glyma.15G274600,water_soluble_protein,Residual,3471.605395,152,NA,NA
Glyma.04G041800,water_soluble_protein,C(type),158.5158108,2,3.750832359,0.025731097
Glyma.04G041800,water_soluble_protein,Residual,3169.612681,150,NA,NA
Glyma.04G043900,water_soluble_protein,C(type),99.83730098,1,4.425445783,0.036980594
Glyma.04G043900,water_soluble_protein,Residual,3587.012842,159,NA,NA
Glyma.10G104700,water_soluble_protein,C(type),296.4753892,2,6.689512178,0.001645722
Glyma.10G104700,water_soluble_protein,Residual,3346.117219,151,NA,NA
Glyma.03G001000,water_soluble_protein,C(type),238.3976332,1,10.69469147,0.001325728
Glyma.03G001000,water_soluble_protein,Residual,3432.846626,154,NA,NA
Glyma.14G118800,water_soluble_protein,C(type),212.3584407,2,4.863832984,0.009045031
Glyma.14G118800,water_soluble_protein,Residual,3121.741343,143,NA,NA
Glyma.04G043400,water_soluble_protein,C(type),144.0583022,1,6.395347954,0.012416128
Glyma.04G043400,water_soluble_protein,Residual,3581.551811,159,NA,NA
Glyma.06G198700,water_soluble_protein,C(type),236.9221734,4,2.825883594,0.033710979
Glyma.06G198700,water_soluble_protein,Residual,1110.880435,53,NA,NA
Glyma.06G084600,water_soluble_protein,C(type),268.6982439,2,6.445193925,0.002057154
Glyma.06G084600,water_soluble_protein,Residual,3168.417704,152,NA,NA
Glyma.13G252700,water_soluble_protein,C(type),159.9300881,1,7.181296351,0.008137484
Glyma.13G252700,water_soluble_protein,Residual,3563.258337,160,NA,NA
Glyma.18G262300,water_soluble_protein,C(type),157.4290267,2,3.403919178,0.035831239
