Sample	2015	2016	2017	Average
NJAU_C001	31.08	22.5	28.63	27.40333333
NJAU_C002	31.19	27.13	32.55	30.29
NJAU_C003	31.67	26.91	32.23	30.27
NJAU_C004	33.11	26.45	32.53	30.69666667
NJAU_C005	NA	NA	NA	NA
NJAU_C006	31.57	24.47	29.5	28.51333333
NJAU_C007	34.67	30.31	35.25	33.41
NJAU_C008	26.99	21.09	29.89	25.99
NJAU_C009	NA	NA	NA	NA
NJAU_C010	32.62	27.07	34.12	31.27
NJAU_C012	32.91	26.23	32.07	30.40333333
NJAU_C013	30.9	26.93	31.1	29.64333333
NJAU_C014	29.52	26.2	31.54	29.08666667
NJAU_C015	24.55	24.08	30.38	26.33666667
NJAU_C016	30.29	23.33	NA	26.81
NJAU_C017	NA	NA	NA	NA
NJAU_C018	NA	NA	NA	NA
NJAU_C019	28.19	26.55	31.31	28.68333333
NJAU_C020	27.08	23.05	29.76	26.63
NJAU_C021	26.49	24.41	29.64	26.84666667
NJAU_C022	31.53	29.83	33.79	31.71666667
NJAU_C023	24.53	24.36	31.68	26.85666667
NJAU_C024	30.61	26.92	31.47	29.66666667
NJAU_C025	32.81	28.68	32.18	31.22333333
NJAU_C026	33.15	26.69	31.6	30.48
NJAU_C027	32.58	34.83	36.74	34.71666667
NJAU_C028	NA	NA	NA	NA
NJAU_C029	31.83	27.45	31.36	30.21333333
NJAU_C030	31.21	24.33	29.52	28.35333333
NJAU_C031	33.98	27.59	32.71	31.42666667
NJAU_C032	NA	NA	NA	NA
NJAU_C033	30.52	27.42	31.63	29.85666667
NJAU_C034	42	30.14	36.06	36.06666667
NJAU_C035	33.03	24.95	30.04	29.34
NJAU_C036	36.37	30.19	33.77	33.44333333
NJAU_C037	NA	NA	NA	NA
NJAU_C038	27.53	26.78	NA	27.155
NJAU_C039	31.26	25.56	31.96	29.59333333
NJAU_C040	NA	NA	NA	NA
NJAU_C041	36.33	29.98	33.71	33.34
NJAU_C043	35.48	31.41	NA	33.445
NJAU_C044	27.56	24.15	29.12	26.94333333
NJAU_C045	32.81	27.18	30.39	30.12666667
NJAU_C046	NA	NA	NA	NA
NJAU_C047	36.87	35.23	35.74	35.94666667
NJAU_C048	29.92	26.64	30.7	29.08666667
NJAU_C049	31.74	24.61	27.4	27.91666667
NJAU_C050	30.14	26.09	32.22	29.48333333
NJAU_C051	33.23	24.93	29.69	29.28333333
NJAU_C052	22.67	19.98	23.12	21.92333333
NJAU_C053	16.15	6.89	15.51	12.85
NJAU_C054	35.79	35.44	40.93	37.38666667
NJAU_C055	30.33	25.8	28.94	28.35666667
NJAU_C056	26.47	18	24.52	22.99666667
NJAU_C057	24.55	22.86	28.54	25.31666667
NJAU_C058	30.79	25.72	29.29	28.6
NJAU_C059	NA	NA	NA	NA
NJAU_C060	26.31	24.12	27.29	25.90666667
NJAU_C061	15.49	21.4	15.03	17.30666667
NJAU_C062	30.93	28.48	31.11	30.17333333
NJAU_C063	NA	NA	NA	NA
NJAU_C064	29.13	23.59	28.49	27.07
