Trait,Sample,2015,2016,2017,Average
grain_weight,NJAU_C001,19.96666667,22.0845,23.28,21.77705556
grain_weight,NJAU_C005,16.88333333,15.16,30.05666667,20.7
grain_weight,NJAU_C062,20.21333333,20.758,23.51666667,21.496
grain_weight,NJAU_C098,18.33333333,22.9685,20.84666667,20.71616667
grain_weight,NJAU_C126,17.67366667,14.09133333,30.48,20.74833333
grain_weight,NJAU_C132,25.334,25.00233333,14.99666667,21.77766667
grain_weight,NJAU_C168,23.47133333,23.79233333,17.59333333,21.619
grain_weight,NJAU_C194,17.14466667,19.41733333,26.49666667,21.01955556
grain_weight,NJAU_C196,17.43766667,25.94133333,22.67666667,22.01855556
grain_weight,NJAU_C205,23.43,20.15866667,NA,21.79433334
grain_weight,NJAU_C217,22.56666667,20.20233333,NA,21.3845
