Trait,Sample,2015,2016,2017,Average
oil_content,NJAU_C005,19.09,19.45,19.91,19.48333333
oil_content,NJAU_C059,17.76,18.78,20.17,18.90333333
oil_content,NJAU_C069,17.33,19.98,19.54,18.95
oil_content,NJAU_C072,NA,18.31,20.11,19.21
oil_content,NJAU_C077,17.81,19.47,18.84,18.70666667
oil_content,NJAU_C088,17.66,18.32,19.3,18.42666667
oil_content,NJAU_C092,20.44,14.88,20.86,18.72666667
oil_content,NJAU_C101,17.61,19.99,21.01,19.53666667
oil_content,NJAU_C102,18.55,20.08,20.65,19.76
oil_content,NJAU_C108,18.66,19.43,20.17,19.42
oil_content,NJAU_C118,18.5,20.19,20.3,19.66333333
oil_content,NJAU_C131,18.73,19.5,20.26,19.49666667
oil_content,NJAU_C132,20.22,17.71,20.78,19.57
oil_content,NJAU_C149,18.74,18.14,21.12,19.33333333
oil_content,NJAU_C153,18.5,17.65,19.59,18.58
oil_content,NJAU_C154,18.71,17.99,20.72,19.14
oil_content,NJAU_C155,17.97,18.89,21.58,19.48
oil_content,NJAU_C159,16.48,19,19.52,18.33333333
oil_content,NJAU_C163,17.93,20.1,20.73,19.58666667
oil_content,NJAU_C167,18.08,19.79,19.61,19.16
oil_content,NJAU_C178,18.03,17.87,21.09,18.99666667
oil_content,NJAU_C181,19.7,17.68,20.06,19.14666667
oil_content,NJAU_C202,18.42,19.23,20.3,19.31666667
oil_content,NJAU_C209,19.09,18.71,20.77,19.52333333
oil_content,NJAU_C216,18.56,18.54,20.56,19.22
oil_content,NJAU_C217,18.46,17.82,20.23,18.83666667
