Trait,Sample,2015,2016,2017,Average
grain_weight,NJAU_C015,4.666666667,9.0215,7.493333333,7.0605
grain_weight,NJAU_C020,6.955666667,8.479333333,13.15333333,9.529444443
grain_weight,NJAU_C024,6.242,8.621,12.12,8.994333333
grain_weight,NJAU_C026,7.87,9.630333333,9.6,9.033444444
grain_weight,NJAU_C028,7.982333333,11.2315,7.463333333,8.892388889
grain_weight,NJAU_C030,5.573333333,7.242666667,10.13333333,7.649777777
grain_weight,NJAU_C084,7.155666667,8.658666667,8.643333333,8.152555556
grain_weight,NJAU_C087,7.172,6.467666667,14.06333333,9.234333332
grain_weight,NJAU_C135,8.29,9.491,4.946666667,7.575888889
grain_weight,NJAU_C212,7.491333333,8.362,11.38333333,9.078888888
