Trait,Sample,2015,2016,2017,Average
oil_content,NJAU_C002,15.05,15.94,16.81,15.93333333
oil_content,NJAU_C003,15.11,16.04,17,16.05
oil_content,NJAU_C004,14.84,15.77,16.64,15.75
oil_content,NJAU_C010,14.26,15.37,16.1,15.24333333
oil_content,NJAU_C013,15.58,15.65,16.46,15.89666667
oil_content,NJAU_C014,15.43,15.99,16.85,16.09
oil_content,NJAU_C016,15.23,17.62,NA,16.425
oil_content,NJAU_C019,15.78,16.02,16.6,16.13333333
oil_content,NJAU_C024,15.14,16.21,16.95,16.1
oil_content,NJAU_C025,14.68,15.47,17.11,15.75333333
oil_content,NJAU_C026,14.86,15.72,16.83,15.80333333
oil_content,NJAU_C029,14.42,15.76,17.67,15.95
oil_content,NJAU_C030,14.26,16.5,17.54,16.1
oil_content,NJAU_C031,13.46,14.97,16.72,15.05
oil_content,NJAU_C033,14.9,15.23,16.89,15.67333333
oil_content,NJAU_C035,14.62,16.54,16.62,15.92666667
oil_content,NJAU_C039,13.83,15.7,16.73,15.42
oil_content,NJAU_C045,14.23,16.08,17.55,15.95333333
oil_content,NJAU_C046,14.41,17.62,16.54,16.19
oil_content,NJAU_C048,15.3,16.07,16.88,16.08333333
oil_content,NJAU_C050,15.61,16.08,16.71,16.13333333
oil_content,NJAU_C051,14.61,16.67,17.68,16.32
oil_content,NJAU_C055,14.72,16.37,17.22,16.10333333
oil_content,NJAU_C056,15.02,16.99,17.11,16.37333333
oil_content,NJAU_C058,15.24,16.45,17.95,16.54666667
oil_content,NJAU_C062,15.74,15.53,17.6,16.29
oil_content,NJAU_C065,14.96,17.08,17.62,16.55333333
oil_content,NJAU_C071,14.15,16.01,16.84,15.66666667
oil_content,NJAU_C074,15.53,16.06,18.2,16.59666667
oil_content,NJAU_C075,14.32,16.06,17.17,15.85
oil_content,NJAU_C076,16.09,15.41,16.53,16.01
oil_content,NJAU_C080,13.44,15.09,16.55,15.02666667
oil_content,NJAU_C081,13.62,15.85,15.79,15.08666667
oil_content,NJAU_C083,15.47,16.26,NA,15.865
oil_content,NJAU_C084,15.18,15.79,17.26,16.07666667
oil_content,NJAU_C086,13.64,14.54,17.65,15.27666667
oil_content,NJAU_C087,13.37,15.82,17.41,15.53333333
oil_content,NJAU_C093,14.39,14.92,15.76,15.02333333
oil_content,NJAU_C096,14.34,15.65,16.2,15.39666667
oil_content,NJAU_C097,14.52,16.03,16.86,15.80333333
oil_content,NJAU_C105,14.72,13.49,16.84,15.01666667
oil_content,NJAU_C107,14.72,15.45,16.48,15.55
oil_content,NJAU_C109,16.53,15.45,17.04,16.34
oil_content,NJAU_C111,14.95,14.82,15.93,15.23333333
oil_content,NJAU_C112,16.19,14.2,16.27,15.55333333
oil_content,NJAU_C114,15.35,15,16.45,15.6
oil_content,NJAU_C115,16.65,14.47,16.23,15.78333333
oil_content,NJAU_C125,15.04,14.22,16.22,15.16
oil_content,NJAU_C127,14.69,14.06,16.19,14.98
oil_content,NJAU_C129,16.98,15.13,16.63,16.24666667
oil_content,NJAU_C137,16.17,15.09,17.28,16.18
oil_content,NJAU_C138,14.45,14.72,17.08,15.41666667
oil_content,NJAU_C140,14.86,15.9,17.94,16.23333333
oil_content,NJAU_C142,14.61,14.68,17.47,15.58666667
oil_content,NJAU_C144,14.14,16.34,17.6,16.02666667
oil_content,NJAU_C145,14.45,16.71,17.16,16.10666667
oil_content,NJAU_C146,14.82,17.07,17.1,16.33
oil_content,NJAU_C150,13.08,17.1,16.96,15.71333333
oil_content,NJAU_C156,14.32,15.02,17.58,15.64
oil_content,NJAU_C160,14.7,16.18,17.86,16.24666667
oil_content,NJAU_C162,15.38,15.85,17.63,16.28666667
oil_content,NJAU_C166,16.03,14.97,16.72,15.90666667
oil_content,NJAU_C168,13.67,15.54,17.7,15.63666667
oil_content,NJAU_C172,13.9,15.69,16.96,15.51666667
oil_content,NJAU_C174,15.99,14.73,16.78,15.83333333
oil_content,NJAU_C182,15.68,15.53,17.47,16.22666667
oil_content,NJAU_C183,14.3,14.52,16.94,15.25333333
oil_content,NJAU_C184,14.74,15.08,18.14,15.98666667
oil_content,NJAU_C185,15.67,14.97,16.94,15.86
oil_content,NJAU_C187,14.56,15.07,16.38,15.33666667
oil_content,NJAU_C190,13.72,15.57,16.91,15.4
oil_content,NJAU_C191,14.94,14.79,15.19,14.97333333
oil_content,NJAU_C198,14.66,16.88,17.06,16.2
oil_content,NJAU_C199,14.46,15.89,16.21,15.52
oil_content,NJAU_C203,15.1,16.23,16.37,15.9
oil_content,NJAU_C204,15.99,16.85,16.17,16.33666667
oil_content,NJAU_C205,15.68,15.37,16.25,15.76666667
oil_content,NJAU_C207,13.66,14.93,16.39,14.99333333
oil_content,NJAU_C208,15.68,14.52,16.98,15.72666667
oil_content,NJAU_C218,16.64,15.93,16.26,16.27666667
oil_content,NJAU_C219,15.05,15.35,16.84,15.74666667
