Trait,Sample,2015,2016,2017,Average
oil_content,NJAU_C007,12.84,14.02,14.97,13.94333333
oil_content,NJAU_C022,14.69,14.41,15.47,14.85666667
oil_content,NJAU_C036,12.29,13.29,14.38,13.32
oil_content,NJAU_C038,13.94,13.29,NA,13.615
oil_content,NJAU_C040,14.76,14.81,15.01,14.86
oil_content,NJAU_C041,12.51,14.06,16.09,14.22
oil_content,NJAU_C049,12.52,14.5,15.64,14.22
oil_content,NJAU_C070,12.51,13.55,13.97,13.34333333
oil_content,NJAU_C095,14.93,14,15.93,14.95333333
oil_content,NJAU_C113,12.71,14.28,15.67,14.22
oil_content,NJAU_C119,15.13,13.24,16.03,14.8
oil_content,NJAU_C124,15.18,13.18,16.22,14.86
oil_content,NJAU_C135,15.09,13.11,16.05,14.75
oil_content,NJAU_C171,13.75,14.57,16.48,14.93333333
oil_content,NJAU_C173,14.29,11.53,14.62,13.48
oil_content,NJAU_C176,13.5,13.58,14.66,13.91333333
oil_content,NJAU_C179,13.07,13.59,15.58,14.08
oil_content,NJAU_C196,13.37,14.23,15.13,14.24333333
oil_content,NJAU_C197,14.63,13.1,15.04,14.25666667
