Trait,Sample,2015,2016,2017,Average
protein_content,NJAU_C001,43.08,44.23,41.66,42.99
protein_content,NJAU_C003,40.29,43.67,41.39,41.78333333
protein_content,NJAU_C008,40.13,43.14,41.76,41.67666667
protein_content,NJAU_C010,42.97,43.7,42.73,43.13333333
protein_content,NJAU_C012,43.11,42.24,43.06,42.80333333
protein_content,NJAU_C014,41.21,41.09,41.61,41.30333333
protein_content,NJAU_C015,42.21,40.05,40.89,41.05
protein_content,NJAU_C016,44.15,41.11,NA,42.63
protein_content,NJAU_C019,39.83,41.78,42.75,41.45333333
protein_content,NJAU_C021,38.85,40.61,41.59,40.35
protein_content,NJAU_C022,42.84,44.11,43.39,43.44666667
protein_content,NJAU_C023,41.37,40.52,41.65,41.18
protein_content,NJAU_C025,42.58,42.06,42.85,42.49666667
protein_content,NJAU_C026,42.17,42.95,42.64,42.58666667
protein_content,NJAU_C030,42.69,41.03,42.44,42.05333333
protein_content,NJAU_C031,44.51,42.09,42.02,42.87333333
protein_content,NJAU_C033,41.92,42.57,42.01,42.16666667
protein_content,NJAU_C035,44.82,42.46,42.71,43.33
protein_content,NJAU_C039,41.67,40.94,42.55,41.72
protein_content,NJAU_C045,42.8,43.52,41.8,42.70666667
protein_content,NJAU_C050,39.24,42.74,44.1,42.02666667
protein_content,NJAU_C051,41.95,42.45,42.89,42.43
protein_content,NJAU_C055,40.67,41.37,41.22,41.08666667
protein_content,NJAU_C057,38.63,39.73,40.12,39.49333333
protein_content,NJAU_C060,40.23,41.93,42.2,41.45333333
protein_content,NJAU_C064,40.31,43.09,40.91,41.43666667
protein_content,NJAU_C072,NA,42.54,41.82,42.18
protein_content,NJAU_C075,43.63,43.26,42.07,42.98666667
protein_content,NJAU_C076,42.87,43.01,41.23,42.37
protein_content,NJAU_C078,39.11,40.3,39.47,39.62666667
protein_content,NJAU_C079,40.21,41.24,41.73,41.06
protein_content,NJAU_C083,41.93,41.5,NA,41.715
protein_content,NJAU_C084,40.21,43.88,41.46,41.85
protein_content,NJAU_C085,37.73,40.44,39.76,39.31
protein_content,NJAU_C087,42.58,44.62,43.01,43.40333333
protein_content,NJAU_C088,39.02,45.5,42.96,42.49333333
protein_content,NJAU_C093,40.31,44.72,44.65,43.22666667
protein_content,NJAU_C094,39.1,38.69,40.65,39.48
protein_content,NJAU_C098,41.52,44.01,42.69,42.74
protein_content,NJAU_C099,42.43,40.74,39.8,40.99
protein_content,NJAU_C100,39,41.67,42.53,41.06666667
protein_content,NJAU_C102,42.39,42.98,43.1,42.82333333
protein_content,NJAU_C103,41.36,43.69,41.53,42.19333333
protein_content,NJAU_C104,41.11,42.61,42.51,42.07666667
protein_content,NJAU_C106,41.25,42.94,41.34,41.84333333
protein_content,NJAU_C108,40.59,43.83,41.77,42.06333333
protein_content,NJAU_C109,39.23,43.28,41.12,41.21
protein_content,NJAU_C111,42.43,43.34,44.24,43.33666667
protein_content,NJAU_C114,41.95,44.02,43.33,43.1
protein_content,NJAU_C121,40.59,43.96,40.95,41.83333333
protein_content,NJAU_C123,40.72,42.73,41.61,41.68666667
protein_content,NJAU_C127,41.4,42.81,42.13,42.11333333
protein_content,NJAU_C128,41.7,42.64,40.13,41.49
protein_content,NJAU_C129,40.56,43.81,43.8,42.72333333
protein_content,NJAU_C130,41.29,44.61,42.98,42.96
protein_content,NJAU_C132,40.99,43.03,41.9,41.97333333
protein_content,NJAU_C133,40.5,43.04,41.02,41.52
protein_content,NJAU_C135,41.34,45.84,43.06,43.41333333
protein_content,NJAU_C137,41.81,44.72,42.29,42.94
protein_content,NJAU_C139,40.5,44.15,39.73,41.46
protein_content,NJAU_C140,39.61,41.47,39.18,40.08666667
protein_content,NJAU_C141,39.86,41.76,42.22,41.28
protein_content,NJAU_C143,40.07,41.98,42.16,41.40333333
protein_content,NJAU_C144,41.72,40.93,41.84,41.49666667
protein_content,NJAU_C148,38.55,40.89,40.55,39.99666667
protein_content,NJAU_C150,40.72,46.39,40.49,42.53333333
protein_content,NJAU_C152,39.6,42.03,42.84,41.49
protein_content,NJAU_C153,41.39,42.3,42.98,42.22333333
protein_content,NJAU_C154,40.17,41.26,43.14,41.52333333
protein_content,NJAU_C156,41.68,41.16,41.85,41.56333333
protein_content,NJAU_C158,43.12,44.47,42.79,43.46
protein_content,NJAU_C160,40.98,42.4,40.75,41.37666667
protein_content,NJAU_C161,37.88,41.65,40.48,40.00333333
protein_content,NJAU_C162,42.58,43.72,41.83,42.71
protein_content,NJAU_C163,41.94,43.3,41.59,42.27666667
protein_content,NJAU_C166,40.38,44.4,42.58,42.45333333
protein_content,NJAU_C174,38.46,41.92,41.87,40.75
protein_content,NJAU_C175,37.55,40.3,40.95,39.6
protein_content,NJAU_C177,38.68,42.12,41.93,40.91
protein_content,NJAU_C182,40.09,42.51,42.65,41.75
protein_content,NJAU_C184,42.64,44.92,42.86,43.47333333
protein_content,NJAU_C186,41.18,42.3,42.06,41.84666667
protein_content,NJAU_C189,40.16,40.99,41.59,40.91333333
protein_content,NJAU_C193,40.58,41.71,41.94,41.41
protein_content,NJAU_C194,38.74,41.43,42.92,41.03
protein_content,NJAU_C195,39.62,40.66,40.6,40.29333333
protein_content,NJAU_C196,42.09,43.2,43.62,42.97
protein_content,NJAU_C197,40.83,44.66,43.63,43.04
protein_content,NJAU_C198,41.97,43.9,42.85,42.90666667
protein_content,NJAU_C199,42.01,43.15,44.66,43.27333333
protein_content,NJAU_C200,40.4,39.34,38.6,39.44666667
protein_content,NJAU_C203,41,40.65,41.27,40.97333333
protein_content,NJAU_C204,41.99,41.23,44.87,42.69666667
protein_content,NJAU_C205,41.9,41.86,43.72,42.49333333
protein_content,NJAU_C206,44.63,41.86,42.17,42.88666667
protein_content,NJAU_C211,39.08,45.05,41.58,41.90333333
protein_content,NJAU_C212,39.54,40.22,39.1,39.62
protein_content,NJAU_C213,43.34,42.87,41.94,42.71666667
protein_content,NJAU_C215,40.31,42.81,42.88,42
protein_content,NJAU_C217,40.46,43.9,40.85,41.73666667
