Trait,Sample,2015,2016,2017,Average
water_soluble_protein,NJAU_C001,31.08,22.5,28.63,27.40333333
water_soluble_protein,NJAU_C008,26.99,21.09,29.89,25.99
water_soluble_protein,NJAU_C015,24.55,24.08,30.38,26.33666667
water_soluble_protein,NJAU_C016,30.29,23.33,NA,26.81
water_soluble_protein,NJAU_C020,27.08,23.05,29.76,26.63
water_soluble_protein,NJAU_C021,26.49,24.41,29.64,26.84666667
water_soluble_protein,NJAU_C023,24.53,24.36,31.68,26.85666667
water_soluble_protein,NJAU_C038,27.53,26.78,NA,27.155
water_soluble_protein,NJAU_C044,27.56,24.15,29.12,26.94333333
water_soluble_protein,NJAU_C057,24.55,22.86,28.54,25.31666667
water_soluble_protein,NJAU_C060,26.31,24.12,27.29,25.90666667
water_soluble_protein,NJAU_C064,29.13,23.59,28.49,27.07
water_soluble_protein,NJAU_C078,26.44,22.65,26.96,25.35
water_soluble_protein,NJAU_C079,28.58,21,28.1,25.89333333
water_soluble_protein,NJAU_C081,29.49,22.35,28.06,26.63333333
water_soluble_protein,NJAU_C082,23.83,24.18,32.42,26.81
water_soluble_protein,NJAU_C083,29.54,23.62,NA,26.58
water_soluble_protein,NJAU_C085,27.09,21.65,27.06,25.26666667
water_soluble_protein,NJAU_C098,29.85,24.45,28.43,27.57666667
water_soluble_protein,NJAU_C099,32.37,20.31,26,26.22666667
water_soluble_protein,NJAU_C100,25.64,23.41,27.22,25.42333333
water_soluble_protein,NJAU_C103,27.36,22.86,26.95,25.72333333
water_soluble_protein,NJAU_C104,26.82,24.33,29.35,26.83333333
water_soluble_protein,NJAU_C106,30.3,23.56,27.61,27.15666667
water_soluble_protein,NJAU_C121,27.09,23.56,25.92,25.52333333
water_soluble_protein,NJAU_C130,29.97,24.6,26.59,27.05333333
water_soluble_protein,NJAU_C133,27.07,24.78,29.12,26.99
water_soluble_protein,NJAU_C139,26.77,23.61,26.27,25.55
water_soluble_protein,NJAU_C141,25.55,24.21,29.69,26.48333333
water_soluble_protein,NJAU_C160,31.18,22.88,27.37,27.14333333
water_soluble_protein,NJAU_C161,26.68,25.78,27.83,26.76333333
water_soluble_protein,NJAU_C175,26.13,25.67,29.47,27.09
water_soluble_protein,NJAU_C177,25.54,24.03,28.31,25.96
water_soluble_protein,NJAU_C180,28.68,24.57,28.74,27.33
water_soluble_protein,NJAU_C182,27.15,23.42,28.03,26.2
water_soluble_protein,NJAU_C186,24.56,26.75,30,27.10333333
water_soluble_protein,NJAU_C189,28.2,22.71,26.99,25.96666667
water_soluble_protein,NJAU_C193,27.81,21.53,26.27,25.20333333
water_soluble_protein,NJAU_C194,25.85,22.22,28.26,25.44333333
water_soluble_protein,NJAU_C198,31.46,23.32,28.25,27.67666667
water_soluble_protein,NJAU_C204,28.75,23.14,31.23,27.70666667
water_soluble_protein,NJAU_C206,29.97,22.89,27.51,26.79
water_soluble_protein,NJAU_C211,26.35,26.12,26.65,26.37333333
water_soluble_protein,NJAU_C213,31.27,24.47,27.63,27.79
water_soluble_protein,NJAU_C215,27.93,24.3,27.96,26.73
