Trait,Sample,2015,2016,2017,Average
water_soluble_protein,NJAU_C056,26.47,18,24.52,22.99666667
water_soluble_protein,NJAU_C094,26.28,19.31,27.09,24.22666667
water_soluble_protein,NJAU_C114,25.19,20.51,22.82,22.84
water_soluble_protein,NJAU_C126,26.5,23.87,24.24,24.87
water_soluble_protein,NJAU_C128,26.82,21.18,23.28,23.76
water_soluble_protein,NJAU_C148,24.38,20.99,25.05,23.47333333
water_soluble_protein,NJAU_C165,25.8,21.01,26.01,24.27333333
water_soluble_protein,NJAU_C195,26.17,21.38,26.65,24.73333333
water_soluble_protein,NJAU_C200,28.29,20.64,23.67,24.2
water_soluble_protein,NJAU_C212,23.99,21.36,27.55,24.3
water_soluble_protein,NJAU_C217,26.66,23.24,23.51,24.47
