loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.03G099800,oil_content,C(type),31.96737152,2,5.48475512,0.004868462
Glyma.03G099800,oil_content,Residual,527.4706089,181,NA,NA
Glyma.20G028000,oil_content,C(type),27.41636167,1,8.970577708,0.003086733
Glyma.20G028000,oil_content,Residual,617.3632555,202,NA,NA
Glyma.04G111400,oil_content,C(type),41.25294344,3,4.500701913,0.004445125
Glyma.04G111400,oil_content,Residual,598.8382161,196,NA,NA
Glyma.06G199100,oil_content,C(type),27.54751064,2,4.634769749,0.011039709
Glyma.06G199100,oil_content,Residual,478.4648918,161,NA,NA
Glyma.19G038900,oil_content,C(type),47.40067838,1,16.09533599,8.66E-05
Glyma.19G038900,oil_content,Residual,559.5489836,190,NA,NA
Glyma.20G087700,oil_content,C(type),72.37678196,1,26.41327055,6.48E-07
Glyma.20G087700,oil_content,Residual,553.5138077,202,NA,NA
Glyma.12G063700,oil_content,C(type),21.93898535,2,3.461127639,0.033316369
Glyma.12G063700,oil_content,Residual,624.3601167,197,NA,NA
Glyma.08G102100,oil_content,C(type),32.87488043,3,3.483864866,0.017016376
Glyma.08G102100,oil_content,Residual,572.4703712,182,NA,NA
Glyma.08G101700,oil_content,C(type),62.30252364,2,10.74477598,3.69E-05
Glyma.08G101700,oil_content,Residual,582.7393367,201,NA,NA
Glyma.05G149400,oil_content,C(type),29.13203559,2,4.731317195,0.009959978
Glyma.05G149400,oil_content,Residual,544.9191089,177,NA,NA
Glyma.10G081100,oil_content,C(type),13.52866806,1,4.356036393,0.038158036
Glyma.10G081100,oil_content,Residual,614.9343194,198,NA,NA
Glyma.04G171500,oil_content,C(type),24.46621814,1,7.957251662,0.005282303
Glyma.04G171500,oil_content,Residual,602.6425904,196,NA,NA
Glyma.11G169300,oil_content,C(type),48.16350623,2,7.963366484,0.000475912
Glyma.11G169300,oil_content,Residual,580.6208476,192,NA,NA
Glyma.18G245300,oil_content,C(type),37.20666419,1,12.29322228,0.000560601
Glyma.18G245300,oil_content,Residual,608.3465614,201,NA,NA
Glyma.11G178700,oil_content,C(type),33.86655227,1,10.92352295,0.001126184
Glyma.11G178700,oil_content,Residual,616.9661502,199,NA,NA
Glyma.02G270400,oil_content,C(type),48.15064503,1,16.17096086,8.16E-05
Glyma.02G270400,oil_content,Residual,604.4526994,203,NA,NA
Glyma.08G125000,oil_content,C(type),39.99520078,1,13.33700539,0.000353406
Glyma.08G125000,oil_content,Residual,473.8126392,158,NA,NA
Glyma.15G198600,oil_content,C(type),28.54533458,2,4.606528236,0.01127294
Glyma.15G198600,oil_content,Residual,523.6222701,169,NA,NA
Glyma.11G165900,oil_content,C(type),69.73454379,2,11.8402864,1.42E-05
Glyma.11G165900,oil_content,Residual,565.4015434,192,NA,NA
Glyma.11G166100,oil_content,C(type),52.79447432,5,4.192401914,0.001334397
Glyma.11G166100,oil_content,Residual,390.3797244,155,NA,NA
Glyma.02G135700,oil_content,C(type),45.06273893,3,5.089955707,0.002337356
Glyma.02G135700,oil_content,Residual,368.8861417,125,NA,NA
Glyma.11G163500,oil_content,C(type),44.76512757,1,14.97908784,0.00014628
Glyma.11G163500,oil_content,Residual,609.6556826,204,NA,NA
Glyma.20G239900,oil_content,C(type),21.37462392,2,3.301573965,0.039381938
