loc,trait,group1,group2,meandiff,p-adj,lower,upper,reject
Glyma.08G124400,protein_content,hap1,hap3,1.7112,0.0019,0.4453,2.977,TRUE
Glyma.20G028000,protein_content,hap1,hap2,0.875,0.0207,0.1349,1.6151,TRUE
Glyma.05G171800,protein_content,hap2,hap3,1.3231,0.0005,0.5922,2.0539,TRUE
Glyma.17G019700,protein_content,hap1,hap2,1.1962,0.0061,0.346,2.0463,TRUE
Glyma.15G150700,protein_content,hap1,hap2,1.0307,0.0007,0.4432,1.6182,TRUE
Glyma.17G072000,protein_content,hap1,hap3,1.3347,0.0032,0.3477,2.3217,TRUE
Glyma.01G152900,protein_content,hap1,hap3,-1.2107,0.0064,-2.1345,-0.287,TRUE
Glyma.17G161800,protein_content,hap1,hap2,1.2288,0.0019,0.3892,2.0683,TRUE
Glyma.08G366100,protein_content,hap1,hap2,1.032,0.0021,0.3787,1.6852,TRUE
Glyma.10G030600,protein_content,hap1,hap2,0.7745,0.0498,0.0005,1.5484,TRUE
Glyma.18G128900,protein_content,hap2,hap3,-1.9805,0.0041,-3.427,-0.534,TRUE
Glyma.13G119700,protein_content,hap1,hap2,-0.7356,0.041,-1.4408,-0.0304,TRUE
Glyma.08G101700,protein_content,hap1,hap2,1.4371,0.0005,0.5527,2.3215,TRUE
Glyma.04G171500,protein_content,hap1,hap2,1.1742,0.0229,0.1647,2.1837,TRUE
Glyma.01G179800,protein_content,hap1,hap2,1.553,0.0005,0.6874,2.4187,TRUE
Glyma.08G099600,protein_content,hap1,hap2,1.0924,0.0059,0.3176,1.8671,TRUE
Glyma.20G138200,protein_content,hap1,hap10,-1.7324,0.0484,-3.4567,-0.0082,TRUE
Glyma.13G280300,protein_content,hap1,hap2,-1.0878,0.0004,-1.6844,-0.4912,TRUE
Glyma.11G165900,protein_content,hap1,hap2,1.0624,0.0196,0.1391,1.9858,TRUE
Glyma.14G086800,protein_content,hap1,hap2,-1.0905,0.0036,-1.8194,-0.3616,TRUE
Glyma.18G125800,protein_content,hap1,hap3,-0.9845,0.0293,-1.8895,-0.0795,TRUE
Glyma.18G125800,protein_content,hap2,hap3,-1.974,0.0009,-3.2451,-0.7028,TRUE
Glyma.15G049900,protein_content,hap1,hap3,1.4387,0.0001,0.719,2.1583,TRUE
Glyma.04G165400,protein_content,hap3,hap4,2.1844,0.0009,0.7201,3.6486,TRUE
Glyma.07G214500,protein_content,hap2,hap3,1.4822,0.0073,0.3353,2.6291,TRUE
Glyma.08G106100,protein_content,hap1,hap2,1.6762,0,0.9816,2.3709,TRUE
Glyma.02G290300,protein_content,hap1,hap2,1.948,0.0005,0.8637,3.0324,TRUE
Glyma.15G016600,protein_content,hap1,hap2,1.1879,0.0358,0.0798,2.296,TRUE
Glyma.15G042600,protein_content,hap1,hap2,1.7083,0.0001,0.862,2.5545,TRUE
Glyma.04G154100,protein_content,hap1,hap2,1.24,0.002,0.4575,2.0225,TRUE
Glyma.19G011100,protein_content,hap2,hap3,2.7101,0.0001,1.1732,4.2471,TRUE
Glyma.08G169300,protein_content,hap1,hap3,1.3613,0.0063,0.2925,2.4302,TRUE
Glyma.20G186900,protein_content,hap1,hap3,1.5811,0.0106,0.306,2.8563,TRUE
Glyma.20G186900,protein_content,hap2,hap3,1.9872,0.0013,0.6723,3.302,TRUE
Glyma.08G152100,protein_content,hap1,hap4,2.1293,0,1.035,3.2236,TRUE
Glyma.08G217900,protein_content,hap1,hap2,2.0948,0.0002,1.0121,3.1774,TRUE
Glyma.13G313900,protein_content,hap2,hap3,1.5949,0.0007,0.5895,2.6004,TRUE
Glyma.12G202400,protein_content,hap2,hap4,2.4491,0.0047,0.5775,4.3206,TRUE
Glyma.15G043600,protein_content,hap1,hap3,1.7341,0.0004,0.6855,2.7827,TRUE
Glyma.08G145100,protein_content,hap1,hap3,1.3996,0.0008,0.4704,2.3288,TRUE
Glyma.17G151200,protein_content,hap1,hap2,-0.8655,0.0066,-1.4876,-0.2435,TRUE
Glyma.08G117700,protein_content,hap1,hap2,1.5551,0.0005,0.5506,2.5597,TRUE
Glyma.08G117700,protein_content,hap1,hap4,2.1387,0.0006,0.7425,3.535,TRUE
Glyma.08G117700,protein_content,hap2,hap3,-1.2779,0.0052,-2.2642,-0.2916,TRUE
Glyma.08G117700,protein_content,hap3,hap4,1.8614,0.0034,0.4783,3.2446,TRUE
Glyma.15G029800,protein_content,hap1,hap2,1.1837,0.0019,0.4442,1.9232,TRUE
Glyma.08G071400,protein_content,hap1,hap2,1.3741,0.0206,0.2132,2.5349,TRUE
Glyma.04G041800,protein_content,hap1,hap3,-1.9166,0.0088,-3.4305,-0.4027,TRUE
Glyma.04G041800,protein_content,hap2,hap3,-1.7994,0.0235,-3.4019,-0.1968,TRUE
Glyma.04G043900,protein_content,hap1,hap3,-1.7271,0.0051,-2.9306,-0.5237,TRUE
Glyma.15G034100,protein_content,hap1,hap4,1.8186,0.0035,0.5096,3.1275,TRUE
Glyma.04G043400,protein_content,hap1,hap2,-1.5851,0.0112,-2.8062,-0.3639,TRUE
Glyma.02G139900,protein_content,hap2,hap4,-1.3022,0.0271,-2.4859,-0.1185,TRUE
Glyma.18G157300,protein_content,hap1,hap2,-0.9181,0.0035,-1.5303,-0.306,TRUE
Glyma.10G206000,protein_content,hap1,hap2,1.0767,0.0091,0.271,1.8825,TRUE
Glyma.10G024900,protein_content,hap1,hap2,1.1544,0.0275,0.1295,2.1793,TRUE
Glyma.04G093000,protein_content,hap1,hap2,1.9566,0.0023,0.7051,3.2081,TRUE
Glyma.20G075400,protein_content,hap1,hap3,1.927,0.0069,0.4442,3.4098,TRUE
Glyma.16G027800,protein_content,hap1,hap3,-1.9524,0.0006,-3.1723,-0.7325,TRUE
Glyma.20G070500,protein_content,hap1,hap2,1.6576,0.0033,0.5596,2.7556,TRUE
Glyma.08G104700,protein_content,hap1,hap2,2.1121,0.0001,0.849,3.3751,TRUE
Glyma.16G093900,protein_content,hap5,hap6,1.4558,0.006,0.2975,2.614,TRUE
Glyma.08G117400,protein_content,hap1,hap2,1.5828,0,0.8482,2.3174,TRUE
Glyma.05G146100,protein_content,hap6,hap7,-2.8464,0.0023,-5.0262,-0.6667,TRUE
Glyma.08G205000,protein_content,hap2,hap3,-1.9603,0.0037,-3.4278,-0.4929,TRUE
Glyma.18G145700,protein_content,hap3,hap4,-2.6376,0.0001,-4.2292,-1.046,TRUE
Glyma.08G030300,protein_content,hap1,hap2,1.1448,0.007,0.3162,1.9733,TRUE
Glyma.15G046500,protein_content,hap1,hap2,1.8177,0.0001,0.8104,2.8251,TRUE
Glyma.15G046500,protein_content,hap1,hap3,1.0742,0.0335,0.0669,2.0815,TRUE
