loc,trait,group1,group2,meandiff,p-adj,lower,upper,reject
Glyma.20G087700,water_soluble_protein,hap1,hap2,5.1489,0.0003,2.4138,7.884,TRUE
Glyma.10G030200,water_soluble_protein,hap1,hap4,-3.5753,0.0276,-6.7509,-0.3997,TRUE
Glyma.10G030600,water_soluble_protein,hap1,hap2,-2.566,0.0165,-4.6574,-0.4747,TRUE
Glyma.15G268400,water_soluble_protein,hap1,hap3,-7.1194,0.0001,-11.0485,-3.1904,TRUE
Glyma.08G281900,water_soluble_protein,hap1,hap2,-3.0626,0.0051,-5.1938,-0.9315,TRUE
Glyma.10G081100,water_soluble_protein,hap1,hap2,-5.2811,0.0002,-8.0298,-2.5324,TRUE
Glyma.02G034700,water_soluble_protein,hap5,hap6,-5.6429,0.0164,-10.5252,-0.7606,TRUE
Glyma.02G001800,water_soluble_protein,hap1,hap2,-2.6827,0.004,-4.4951,-0.8703,TRUE
Glyma.11G086000,water_soluble_protein,hap1,hap5,-5.8876,0.0015,-9.8202,-1.955,TRUE
Glyma.05G050300,water_soluble_protein,hap1,hap3,-5.6954,0.0017,-9.5346,-1.8563,TRUE
Glyma.08G099600,water_soluble_protein,hap1,hap2,-3.499,0.0032,-5.8052,-1.1927,TRUE
Glyma.06G211700,water_soluble_protein,hap1,hap2,-3.5523,0.0225,-6.6958,-0.4088,TRUE
Glyma.08G151600,water_soluble_protein,hap1,hap2,5.2128,0.0001,2.1081,8.3175,TRUE
Glyma.18G228400,water_soluble_protein,hap1,hap2,4.2318,0.0005,1.6414,6.8221,TRUE
Glyma.18G228400,water_soluble_protein,hap1,hap3,2.9366,0.0161,0.4499,5.4234,TRUE
Glyma.16G078900,water_soluble_protein,hap2,hap3,-4.5401,0.0031,-7.9561,-1.1241,TRUE
Glyma.18G139700,water_soluble_protein,hap1,hap4,-4.9713,0.0037,-8.6888,-1.2539,TRUE
Glyma.18G139700,water_soluble_protein,hap2,hap4,-6.3446,0.0231,-12.0604,-0.6289,TRUE
Glyma.18G139700,water_soluble_protein,hap3,hap4,-4.6425,0.0104,-8.4655,-0.8195,TRUE
Glyma.10G196900,water_soluble_protein,hap1,hap3,-5.6342,0.0054,-9.857,-1.4115,TRUE
Glyma.04G154100,water_soluble_protein,hap1,hap2,-4.2102,0.0008,-6.6526,-1.7678,TRUE
Glyma.04G135900,water_soluble_protein,hap2,hap3,-3.4114,0.0132,-6.2309,-0.5918,TRUE
Glyma.04G113400,water_soluble_protein,hap1,hap2,3.2606,0.0102,0.6464,5.8749,TRUE
Glyma.08G152100,water_soluble_protein,hap1,hap3,5.0148,0.0002,1.97,8.0596,TRUE
Glyma.18G138500,water_soluble_protein,hap1,hap3,-4.7763,0.0017,-8.0049,-1.5477,TRUE
Glyma.18G138500,water_soluble_protein,hap2,hap3,-4.1032,0.0116,-7.4453,-0.761,TRUE
Glyma.16G089000,water_soluble_protein,hap1,hap2,-1.848,0.0222,-3.4288,-0.2672,TRUE
Glyma.03G230900,water_soluble_protein,hap1,hap2,-3.5066,0.0088,-6.1168,-0.8965,TRUE
Glyma.08G325300,water_soluble_protein,hap1,hap3,-4.4922,0.0207,-8.423,-0.5613,TRUE
Glyma.01G239300,water_soluble_protein,hap1,hap2,-2.4619,0.0074,-4.2541,-0.6698,TRUE
Glyma.02G299300,water_soluble_protein,hap1,hap4,-2.7611,0.0169,-5.1136,-0.4085,TRUE
Glyma.09G019500,water_soluble_protein,hap1,hap2,1.8942,0.0179,0.3306,3.4577,TRUE
Glyma.04G124100,water_soluble_protein,hap1,hap2,-2.2664,0.0303,-4.3147,-0.218,TRUE
Glyma.18G242700,water_soluble_protein,hap1,hap2,-6.5438,0.0009,-10.3556,-2.7319,TRUE
Glyma.12G107000,water_soluble_protein,hap1,hap2,2.2812,0.0042,0.7297,3.8327,TRUE
Glyma.12G077600,water_soluble_protein,hap1,hap2,-5.3553,0.0035,-8.9236,-1.7871,TRUE
Glyma.08G117700,water_soluble_protein,hap2,hap4,-4.9302,0.0334,-9.5852,-0.2752,TRUE
