loc,trait,group1,group2,meandiff,p-adj,lower,upper,reject
Glyma.03G099800,oil_content,hap1,hap5,1.0224,0.0038,0.2809,1.764,TRUE
Glyma.20G028000,oil_content,hap1,hap2,-0.9234,0.0031,-1.5312,-0.3155,TRUE
Glyma.06G199100,oil_content,hap1,hap5,-1.4457,0.0091,-2.5907,-0.3007,TRUE
Glyma.19G038900,oil_content,hap1,hap2,-1.749,0.0001,-2.609,-0.8891,TRUE
Glyma.20G087700,oil_content,hap1,hap2,-2.356,0,-3.2599,-1.4521,TRUE
Glyma.08G102100,oil_content,hap1,hap4,1.0882,0.0141,0.1617,2.0147,TRUE
Glyma.08G101700,oil_content,hap1,hap2,1.1314,0.0007,0.4192,1.8437,TRUE
Glyma.08G101700,oil_content,hap1,hap3,1.3441,0.0032,0.3843,2.3039,TRUE
Glyma.05G149400,oil_content,hap1,hap2,0.9293,0.01,0.1853,1.6733,TRUE
Glyma.10G081100,oil_content,hap1,hap2,0.8669,0.0382,0.0478,1.6861,TRUE
Glyma.04G171500,oil_content,hap1,hap2,-1.1665,0.0053,-1.9821,-0.351,TRUE
Glyma.18G245300,oil_content,hap1,hap2,-1.2811,0.0006,-2.0016,-0.5606,TRUE
Glyma.11G178700,oil_content,hap1,hap2,0.8423,0.0011,0.3398,1.3449,TRUE
Glyma.02G270400,oil_content,hap1,hap2,-1.9886,0.0001,-2.9637,-1.0136,TRUE
Glyma.08G125000,oil_content,hap1,hap4,1.4002,0.0004,0.6429,2.1575,TRUE
Glyma.15G198600,oil_content,hap2,hap3,1.076,0.0078,0.2377,1.9143,TRUE
Glyma.11G165900,oil_content,hap1,hap2,-1.0146,0.0046,-1.7634,-0.2658,TRUE
Glyma.11G166100,oil_content,hap3,hap4,2.0512,0.0023,0.5142,3.5881,TRUE
Glyma.02G135700,oil_content,hap4,hap9,-1.6383,0.0012,-2.7552,-0.5213,TRUE
Glyma.11G163500,oil_content,hap1,hap2,-1.3602,0.0001,-2.0532,-0.6673,TRUE
Glyma.06G163600,oil_content,hap1,hap15,2.0877,0.0052,0.4883,3.6871,TRUE
Glyma.06G163600,oil_content,hap15,hap2,-2.7726,0.001,-4.6309,-0.9142,TRUE
Glyma.11G174300,oil_content,hap1,hap2,0.7764,0.0025,0.277,1.2759,TRUE
Glyma.08G106100,oil_content,hap1,hap2,0.9021,0.0023,0.3262,1.478,TRUE
Glyma.08G159800,oil_content,hap1,hap2,-0.6787,0.0093,-1.1879,-0.1696,TRUE
Glyma.14G210700,oil_content,hap1,hap2,-1.1402,0.0023,-1.8695,-0.411,TRUE
Glyma.16G179300,oil_content,hap3,hap4,-0.9183,0.0177,-1.7205,-0.116,TRUE
Glyma.19G256100,oil_content,hap1,hap2,0.6715,0.0256,0.0828,1.2602,TRUE
Glyma.15G184800,oil_content,hap1,hap2,0.7076,0.0063,0.2019,1.2133,TRUE
Glyma.04G154100,oil_content,hap1,hap2,0.7342,0.0261,0.0881,1.3803,TRUE
Glyma.04G135900,oil_content,hap2,hap3,0.8676,0.0391,0.0346,1.7005,TRUE
Glyma.15G190900,oil_content,hap1,hap2,-0.8655,0.0026,-1.4245,-0.3066,TRUE
Glyma.04G113400,oil_content,hap1,hap2,-1.113,0.0156,-2.0529,-0.173,TRUE
Glyma.18G167000,oil_content,hap1,hap2,0.9415,0.0188,0.158,1.725,TRUE
Glyma.04G049600,oil_content,hap1,hap2,0.8491,0.0438,0.024,1.6742,TRUE
Glyma.20G103200,oil_content,hap1,hap5,0.967,0.0254,0.0849,1.8491,TRUE
Glyma.08G047200,oil_content,hap1,hap2,0.8448,0.012,0.1882,1.5015,TRUE
Glyma.03G012100,oil_content,hap1,hap4,0.7473,0.0221,0.1091,1.3855,TRUE
Glyma.18G242700,oil_content,hap1,hap2,1.4957,0.0004,0.6715,2.32,TRUE
Glyma.12G107000,oil_content,hap1,hap2,-0.7993,0.0025,-1.3134,-0.2852,TRUE
Glyma.19G257200,oil_content,hap1,hap2,0.7228,0.0147,0.1439,1.3016,TRUE
Glyma.08G117700,oil_content,hap2,hap4,1.616,0.0029,0.4316,2.8004,TRUE
Glyma.18G035400,oil_content,hap1,hap2,0.8923,0.0112,0.2049,1.5797,TRUE
